stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,2,1,0,1,0,0,0,0,2,0,0,0,0,0,0,40,0,0,22,13,0,0,0,2,0,2,10,0,309,193,5,0,10,0,6
 24-34,0,0,0,0.82,8.21,0,18.88,209.32,0.82,5.75,1.64,0,0,13.95,0,0,0.82,0,4.1,4.1,324.24,0,0,150.22,167.45,2.46,1.64,0.82,0,0,5.75,0.82,3.28,241.33,198.65,40.22,0,87.01,0,57.46
 36-46,0,0,0,0,2.42,1.61,19.34,393.17,0.81,24.98,11.28,0,0,8.06,0,0,0.81,0,1.61,0.81,464.07,0,0,154.69,170.8,0,0.81,1.61,0,0,7.25,0.81,1.61,185.3,19.34,58.01,0.81,66.87,0,46.73
 48-58,0.57,0,0,0,4.59,0,53.94,351.17,1.15,32.13,16.07,0,0,7.46,0,0,0.57,1.15,2.3,12.05,622.58,0,1.72,126.24,197.96,2.3,1.15,1.15,0,0,2.87,0,0,145.75,0,65.41,2.87,52.79,0.57,47.63
 60-70,0,0,0,0,4.91,1.96,58.89,267.96,1.96,36.32,15.7,0,0,1.96,2.94,0,0,0,2.94,5.89,763.62,0,1.96,117.78,258.14,1.96,0,0,0.98,5.89,2.94,0,0.98,96.19,0,50.06,8.83,43.19,0.98,47.11
 72-82,0,0,0,0,6.87,3.93,98.17,188.48,3.93,61.84,100.13,1.96,0,7.85,0,0,0.98,0,2.94,10.8,999.33,0,4.91,116.82,285.66,1.96,0,1.96,0,3.93,2.94,0,0,48.1,0,58.9,20.61,101.11,4.91,33.38
 84-94,0,0,0,0,9.56,3.19,117.89,277.19,2.12,30.8,69.03,0,1.06,5.31,4.25,0,4.25,1.06,1.06,16.99,642.53,0,10.62,108.33,178.42,1.06,0,0,0,3.19,9.56,0,0,70.09,0,29.74,5.31,87.09,3.19,41.42
 96-106,0,0,1.09,0,10.93,9.84,96.17,357.36,1.09,27.32,98.36,5.46,0,10.93,6.56,1.09,3.28,2.19,4.37,19.67,518.01,4.37,8.74,69.94,192.34,5.46,2.19,2.19,0,2.19,12.02,0,1.09,73.22,0,26.23,15.3,79.78,3.28,49.18
108-118,0,0,1.53,0,3.06,3.06,63.57,255.83,0,29.87,95.75,1.53,0,4.6,4.6,0,2.3,0,3.06,27.57,438.9,1.53,9.96,81.96,190.72,9.96,1.53,1.53,0,5.36,3.06,0,0,57.45,0,17.62,5.36,61.28,2.3,48.26
120,0,0,1.96,0,7.84,1.96,31.36,137.18,1.96,17.64,82.31,0,0,0,0,1.96,1.96,0,0,9.8,378.24,1.96,1.96,84.27,205.78,11.76,0,0,0,3.92,7.84,1.96,0,23.52,0,21.56,7.84,80.35,9.8,31.36
