stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96,0,0,0,0,0,2,1,3,0,0,0,0,0
 24-34,0,0,3.28,0,0,13.13,0,0,0,4.93,0,0,0,0,0,0.82,0.82,7.39,0.82,0,1.64,702.65,0.82,1.64,0,0,3.28,0.82,0,62.39,0,0,0,0,1.64
 36-46,0,0,0.81,0,0,61.23,0,0,0.81,41.89,0,0,0,0,0,1.61,2.42,8.86,0.81,0,0.81,759.75,0.81,0,0,0,3.22,0,0,103.93,0,0,1.61,0,0
 48-58,0,0,3.44,0,0,86.07,0,0.57,0,125.66,0,0,0,0,0,0.57,0,6.31,0,0,1.72,356.33,0.57,1.15,0.57,0,0.57,0,0,43.04,0,0.57,1.15,0,0.57
 60-70,0.98,0,1.96,0,2.94,74.6,0,0,0,116.8,0.98,0,0.98,0,0.98,0.98,0,7.85,0,0.98,0,94.23,0,0,0,0,0.98,0,0,10.8,0,0,0,0,0
 72-82,0,0.98,0,1.96,67.73,63.81,0,0,0,127.62,0.98,0,0,0,0,0.98,0,10.8,0,0.98,0.98,87.37,0,0,0,0,1.96,0,0,2.94,0,0,0,0.98,0
 84-94,0,0,7.43,0,143.38,47.79,0,0,0,78.59,6.37,0,1.06,0,0,2.12,0,8.5,0,2.12,1.06,81.78,0,0,2.12,0,2.12,0,0,3.19,1.06,0,1.06,0,0
 96-106,0,0,5.46,3.28,257.91,46.99,1.09,0,0,101.63,10.93,0,2.19,0,0,3.28,0,13.11,1.09,0,2.19,71.04,0,1.09,0,0,4.37,0,0,3.28,0,0,1.09,1.09,1.09
108-118,0,0,3.83,0,424.34,39.06,0,0.77,0,92.68,13.02,0,1.53,0.77,0.77,3.06,0.77,9.19,0,0.77,1.53,72.77,1.53,0,0.77,0.77,3.06,0,0,0,0,0,0,0,0
120,0,0,0,0,156.78,23.52,0,0,0,111.71,11.76,1.96,0,0,0,1.96,0,5.88,1.96,0,1.96,72.51,0,0,1.96,0,1.96,0,0,0,0,1.96,0,1.96,0
