stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pgc,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,61.3,882.67,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0
  7-9,5.26,5.26,0,21.03,0,26.29,0,0,0,0,2.63,0,0,0,0,0,194.52,0,63.09,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,22.03,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0,0,2.46,0,0,0.82,0,3.28,0,0,64.85,0,0,0,0,0
 36-46,0,0,0,0,2.42,0.81,0,0,0,0,0,6.45,0,0,1.61,0,18.53,1.61,0,92.65,0,0.81,0,0,0.81
 48-58,0,0,0,0,2.3,2.3,1.15,0,0.57,0,1.72,0,0,0.57,0.57,0.57,7.46,1.72,0,104.43,0,1.72,0,0.57,0.57
 60-70,0,0,0,0,4.91,0.98,0,0.98,0,0.98,0,0,0,0,0,0,3.93,0,0,51.04,0,0,0.98,0,0
 72-82,0,0,0.98,0,2.94,1.96,2.94,0,0,0,0.98,3.93,0.98,0,1.96,0,8.83,2.94,0,101.11,0,0,1.96,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,1.06,2.12,0,0,13.81,0,0,0,0,0
 96-106,0,0,0,0,8.74,1.09,0,0,0,6.56,0,5.46,3.28,0,2.19,0,4.37,3.28,0,159.56,0,0,0,0,0
108-118,0,0,0,0,6.13,0,1.53,0,0,1.53,0,5.36,0.77,0,0.77,0,1.53,2.3,0,38.3,0,0,1.53,0,0
120,0,0,0,0,25.48,0,7.84,0,0,5.88,0,5.88,1.96,0,0,0,5.88,3.92,0,139.14,0,0,5.88,0,0
