stage,axial,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,immune,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,presomitic.mesoderm,pronephros,slow.muscle,somites,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,10.67,0,0,1.64,0,0,0.82,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,6.45,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,5.16,0,0,0.57,0.57,0,1.15,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,1.96,5.89,0,4.91,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,9.82,0.98,0,4.91,8.83,0,1.96,0,0,0,0,0,0,2.94,0,0.98
 84-94,0,0,1.06,0,1.06,0,0,0,9.56,1.06,0,1.06,14.87,0,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,0,0,27.32,0,1.09,5.46,6.56,0,2.19,0,0,0,2.19,0,0,0,0,2.19
108-118,0,0,3.06,3.06,0,0,0,0,15.32,0,0,1.53,9.96,0.77,0.77,0,0,0,0.77,0.77,0,0,0,2.3
120,0,0,1.96,0,0,0,0,1.96,21.56,0,0,0,9.8,0,0,0,1.96,0,3.92,0,0,0,1.96,0
