stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,pronephros,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,3.15,0,0,6.29,0,0,0
 14-21,0,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,22,0,0,0
 24-34,0,1.64,4.93,0.82,0,0,0,0,0,0,4.93,0,0,0,0,0,4.1,0,0,0,0,2.46,0,1.64,13.95,1.64,0,0
 36-46,0,1.61,3.22,0,0,0,0,0,0,0.81,9.67,0,0,0,0,0,6.45,0.81,0,0,0.81,2.42,0,0.81,18.53,1.61,0,0
 48-58,0,0.57,0.57,0,0,0,0,0,0.57,0,11.48,0,0,0,0,0,8.61,0,0,0,0,5.16,0,0,8.61,1.15,0,0
 60-70,0,1.96,0,0.98,0,0,10.8,0,0,0,20.61,0,0,0,0,0,13.74,0.98,0,0,0,7.85,0,0.98,13.74,0.98,0,0.98
 72-82,0,0.98,0,0,0,0,14.72,0.98,0,0.98,50.06,0,0,0,0,0,13.74,3.93,0.98,0,0,7.85,0,0,30.43,0,0,0
 84-94,0,3.19,1.06,0,0,1.06,30.8,0,0,0,54.16,0,0,1.06,0,0,26.55,0,0,0,0,8.5,0,0,57.35,0,1.06,0
 96-106,0,4.37,0,0,0,1.09,50.27,0,1.09,1.09,71.04,0,0,0,0,0,31.69,2.19,0,0,0,25.14,0,2.19,56.83,1.09,0,0
108-118,0,3.06,0.77,0.77,0.77,3.83,32.17,0,0,0,61.28,0,0,1.53,0.77,0,51.32,5.36,0,0,0,12.26,0,0,58.98,0,0.77,0
120,0,0,1.96,3.92,0,1.96,17.64,0,1.96,0,68.59,0,0,3.92,0,1.96,43.12,3.92,0,1.96,0,23.52,1.96,3.92,39.2,0,0,0
