stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,10.51,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,152.47,5.26,0,0,55.2,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.29,3.15,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,6,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,4,0,0,2,30,1,0,0,1,0,0,3,0,5,18,0,0,0,0
 24-34,0,0,0.82,4.1,0,0,6.57,0,0,0,0.82,0,0,0,0,0,0,0,0,9.03,0.82,0,4.1,71.41,0.82,1.64,0.82,0,0,4.1,0,0,2.46,18.88,0,1.64,0,0
 36-46,0,0,0,1.61,0,0,7.25,0,0,0.81,4.83,0,0,0,0,0,0,0,0,10.47,0,0,3.22,63.65,0,0,0.81,0,0,3.22,0,1.61,0,10.47,0,0,0,0
 48-58,0,0,0,0.57,0,0,11.48,0,0,0,4.59,0,0,0,0,0,0,0,0.57,13.2,0,0,1.15,68.86,0,0,1.15,0,0,2.3,0,0,0,11.48,0,1.15,0,1.15
 60-70,0,0,0,1.96,0,0,25.52,0.98,0,0.98,5.89,0,0,0,0,0,0.98,0,0,12.76,0,0,1.96,67.73,0.98,0,0,0,0,0.98,0,0.98,0,8.83,0,0.98,0,0.98
 72-82,0,0,0,0.98,0,0,50.06,0,0.98,0.98,7.85,3.93,0,0.98,0.98,0,0,0,0,22.58,0.98,0,4.91,80.5,0,0.98,3.93,0,0,0,0,0.98,0,6.87,0.98,1.96,0.98,0
 84-94,0,0,0,2.12,1.06,0,20.18,1.06,0,0,4.25,0,0,1.06,1.06,0,1.06,0,0,13.81,0,1.06,2.12,29.74,0,0,0,0,0,5.31,0,0,0,2.12,0,2.12,0,0
 96-106,0,0,0,2.19,0,0,7.65,0,0,1.09,4.37,0,0,1.09,0,0,1.09,1.09,0,16.39,0,0,1.09,34.97,0,1.09,1.09,0,2.19,3.28,0,0,0,2.19,1.09,0,0,0
108-118,0,0,0,2.3,0,0.77,11.49,0,1.53,0,3.83,0.77,0,2.3,0,0.77,0,0,0,8.43,0,1.53,0.77,35.23,0,0,0.77,0,0,3.06,0,0,0,0.77,0,3.83,0,0.77
120,0,0,1.96,1.96,0,0,5.88,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,11.76,0,0,0,25.48,0,1.96,0,0,0,3.92,0,1.96,0,0,1.96,1.96,0,0
