stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,spinal.cord,vasculature
 14-21,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,9.03,0,0,0.82,1.64,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,2.42,0,0,0,4.03,0,0,0.81,1.61,0
 48-58,0,0,0,0,2.87,0,0,0,0,0,0,0,0.57,0,0.57,1.15,3.44,0,0.57,0.57,0.57,0.57
 60-70,0.98,0,1.96,0,0.98,0,0,0,0,0,0,0,1.96,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0.98,0.98,0,0,0,5.89,0,0,0,3.93,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,1.06,0,0,2.12,0,0,0,0,0,0,2.12,0,0,1.06,0,0
 96-106,0,0,0,2.19,2.19,0,1.09,1.09,1.09,0,0,0,1.09,0,0,1.09,2.19,1.09,0,1.09,0,1.09
108-118,0,0,1.53,2.3,1.53,0,0,0,2.3,0.77,0.77,0.77,3.83,0,0,0,1.53,0,0,1.53,0,2.3
120,0,0,0,0,0,1.96,1.96,0,1.96,1.96,0,1.96,1.96,1.96,0,0,3.92,0,0,7.84,0,0
