stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,9.44,0,0,0,0,456.31,0,0,0,0,0,0,0,0,169.94,9.44,0,0,44.06,0,3.15,3.15,9.44,0,0,0,0,0
 14-21,1,2,5,40,3,17,0,0,5,1,240,0,1,2,0,2,18,0,11,268,8,2,3,4,10,0,31,1,4,33,72,5,0
 24-34,0,0,0,18.06,2.46,32.01,1.64,2.46,9.03,0.82,73.06,0,1.64,0.82,0.82,1.64,36.12,0,19.7,370.21,3.28,3.28,3.28,0,17.24,0,0,1.64,2.46,6.57,102.61,9.03,3.28
 36-46,0,0,0,3.22,0.81,12.89,0,0,3.22,0,24.98,0,0,0,0,0.81,17.72,0,3.22,78.96,0,0,0.81,0,11.28,0,0,0,0,0,20.14,1.61,1.61
 48-58,0,0,0,1.72,0,9.75,0,0,1.72,0,46.48,0.57,0.57,0.57,0.57,0,5.16,0.57,1.15,32.13,0,0,0,0,2.87,0,0,0,0,0,13.77,1.72,0.57
 60-70,0,0,0,0.98,0,6.87,0,0,0.98,0,23.56,0,0,0,0,0,1.96,1.96,0.98,5.89,0,0,0,0,1.96,0,0,0,0,0,1.96,0.98,1.96
 72-82,0,0,0,0.98,0,1.96,0,0,0,0,13.74,0,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,0,14.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,0,0,0,0,0,0.77,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
