stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0,2.46,0,0,0.82,0,0,0.82,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,2.87,0.57,0,0.57,0,0,0,0,0,0,1.72,0,0,0.57,0,0.57,0,0,0,0,0.57
 60-70,0,0.98,0,0,0,1.96,0,0.98,0,0,0.98,0,0.98,1.96,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0.98
 72-82,0,0,0,0,0,0,0,0.98,0,0,0.98,0,0,2.94,0.98,0,0,0.98,0,0,1.96,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,0,0,3.19,0,2.12,1.06,0,0,0,0,0,1.06,0,1.06,1.06,0,5.31,0,1.06,0,0,0,0,1.06
 96-106,0,3.28,0,0,0,1.09,1.09,0,0,0,0,2.19,0,1.09,0,1.09,0,2.19,1.09,0,49.18,0,0,0,0,0,1.09,0
108-118,0,6.89,0,0.77,0.77,0,3.06,0,2.3,0.77,0,0,0.77,2.3,0.77,0,0,2.3,0,0,14.55,0,0,0,0,1.53,0,0.77
120,0,1.96,0,0,5.88,0,5.88,0,3.92,0,0,0,0,0,5.88,0,1.96,5.88,0,0,129.35,0,0,0,0,0,1.96,0
