stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,140.98,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,13.14,0,0,55.2,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,199.78,5.26,0,0,44.69,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,15.73,0,28.32,0,0,47.2,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,525.54,40.91,0,0,84.97,0,0,0,6.29,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,113,2,1,0,1,0,0,2,1,0,0,0,0,0,0,0,16,0,0,10,37,2,0,4,1,0,7,10,0,11,12,0,0,0,0,0
 24-34,0,0,0,0,13.95,0,0,0,1.64,0,0,0.82,0,0.82,0,0,0,0.82,0,0,15.6,0.82,0,2.46,41.04,0,2.46,0.82,0,0,4.1,0,2.46,3.28,6.57,0,0,0.82,0,0
 36-46,0,0,0,0,4.83,0,0.81,0,0,0,0,0,0,0,0,0,0,6.45,0,1.61,20.14,0,0.81,3.22,120.04,0,0.81,0.81,0,0,2.42,0.81,2.42,0,24.17,0,0,1.61,0,0
 48-58,0,0,0,0,1.72,0,51.07,0,2.3,0.57,2.87,0,0,0,0,0,0,6.31,0,0,25.82,0,0.57,1.15,286.33,0,1.15,1.15,0,0,0,0,0,0,33.28,0,0,1.15,0,0
 60-70,0,0,0,0,1.96,0,126.62,0,1.96,5.89,1.96,0,0,0,0,0,0.98,1.96,0,0,41.22,0,0.98,2.94,540.82,0.98,0.98,0,0,1.96,0.98,0,0.98,0,48.09,0,4.91,0,0,0
 72-82,0,0,0,0,4.91,0.98,148.23,0.98,0,1.96,8.83,0.98,0,1.96,0,0,0,9.82,0,0.98,53.01,0,1.96,0,402.48,0,1.96,0.98,0,0.98,0.98,0,0,0,33.38,0,0.98,0.98,6.87,0
 84-94,0,0,2.12,0,4.25,0,62.66,0,1.06,0,8.5,2.12,0,0,0,0,1.06,9.56,0,1.06,33.99,0,1.06,1.06,184.79,0,0,1.06,0,0,1.06,0,1.06,0,8.5,1.06,2.12,1.06,8.5,0
 96-106,0,0,0,1.09,0,3.28,51.36,0,2.19,2.19,7.65,1.09,0,0,0,0,0,9.84,1.09,2.19,28.41,1.09,0,0,168.3,0,0,2.19,0,0,0,0,0,0,7.65,0,3.28,0,13.11,3.28
108-118,0,0,0,0,3.06,0.77,38.3,0.77,0.77,0.77,6.13,0,0,0.77,0.77,0.77,2.3,2.3,1.53,2.3,16.85,0,0.77,4.6,189.96,0,0,2.3,0,0.77,0,0,0.77,0,8.43,0,1.53,1.53,1.53,0.77
120,1.96,0,0,0,5.88,0,50.95,0,0,0,5.88,0,0,1.96,0,0,3.92,7.84,0,0,27.44,0,9.8,5.88,211.66,0,3.92,0,0,0,1.96,0,0,0,15.68,0,1.96,0,3.92,0
