stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,0,0,0,0
 24-34,1.64,0,0,0,0.82,0,0,0,2.46,0,1.64,0.82,0,0,2.46,0,0,0,56.64,0,0,0,0,0,0
 36-46,0.81,0,0.81,0,0.81,0,0,0,0,0,0,0.81,0,0,3.22,0.81,0,0,100.71,0,0,1.61,0,0,0.81
 48-58,1.15,0,2.87,0,2.3,0.57,0,0,0.57,0,1.15,1.15,0.57,0,4.59,0,0,0,110.17,0,0,1.15,0,0,0
 60-70,3.93,0,4.91,0,4.91,0,0,0,2.94,0,0.98,2.94,0,0,5.89,0.98,0,0,280.72,0,0,0,0,0,0
 72-82,9.82,0.98,2.94,0,5.89,0,0.98,0,2.94,0,0.98,2.94,0,0,4.91,0,0.98,0.98,335.73,0,0,0,0,0,0
 84-94,15.93,0,1.06,0,8.5,0,1.06,0,12.74,0,0,5.31,0,0,8.5,0,0,0,1039.73,0,0,1.06,0,0,0
 96-106,30.6,0,3.28,0,22.95,0,2.19,0,18.58,0,0,8.74,0,0,9.84,1.09,0,0,1026.18,1.09,0,0,1.09,1.09,0
108-118,38.3,0,3.06,0.77,20.68,0,3.06,1.53,10.72,0.77,4.6,9.96,0,0.77,7.66,0.77,0,0,737.62,0,0,0,0,0,0
120,52.91,0,3.92,1.96,48.99,0,0,1.96,13.72,1.96,0,15.68,0,0,1.96,0,0,0,703.56,0,0,0,1.96,0,0
