stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,0,2.94,0,0,0,0,9.82,0.98,0,0,0,0,0,0,0,2.94,0,0.98,0,7.85,0,0.98,0.98,1.96,0.98,0,0,0,2.94,4.91,0
 84-94,0,2.12,3.19,0,0,0,0,0,0,1.06,30.8,0,0,0,0,0,0,0,0,3.19,0,0,0,2.12,0,1.06,0,1.06,0,0,1.06,0,7.43,2.12,0
 96-106,1.09,3.28,13.11,10.93,1.09,37.16,2.19,0,2.19,15.3,91.8,0,0,3.28,1.09,2.19,1.09,3.28,1.09,18.58,2.19,1.09,1.09,56.83,2.19,2.19,3.28,19.67,0,3.28,0,1.09,15.3,4.37,6.56
108-118,0,2.3,13.79,3.06,1.53,17.62,0,0.77,0,0.77,138.64,0,0,0.77,0.77,0,0,1.53,0,8.43,1.53,0.77,1.53,26.04,1.53,0.77,0.77,9.96,0,2.3,2.3,1.53,7.66,3.83,1.53
120,0,0,5.88,0,0,1.96,0,0,0,0,70.55,0,1.96,0,1.96,1.96,0,1.96,0,9.8,1.96,0,1.96,11.76,0,0,1.96,7.84,0,1.96,0,0,3.92,0,0
