stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,429.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,2.63,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.87,2.63,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.7,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,25,2,0,0,0,1,0,9,0,0,1,0,0,0,0,0
 24-34,0,0,1.64,8.21,4.93,0.82,0,1.64,0,0,0,0.82,5.75,0,0,0.82,0,0,9.03,0,2.46,0,0,1.64,59.1,0,0,0.82,0,4.1,0,60.74,0,0.82,11.49,0,0,0,0,0.82
 36-46,0,0,0,0.81,0.81,0,0,3.22,0,0,0.81,0.81,4.03,0,0,0,0,0.81,16.11,0,4.03,0,0,1.61,70.9,0,0.81,0,0,4.03,0.81,45.12,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0.57,1.15,1.15,0,3.44,0,1.15,0,0,10.33,0,0,0,0,0,20.66,0.57,3.44,0,0,1.15,41.31,0,0,0,0,0,0,34.43,0,0,4.59,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,6.87,0,0,0,1.96,22.58,0,0,0,0.98,0,43.19,0,5.89,0,0.98,0,49.08,0,0.98,0,0,0,0,38.28,0,0,7.85,0,0,0,0,0
 72-82,0,0,6.87,0,2.94,1.96,14.72,12.76,0,0.98,1.96,2.94,71.66,0,0,0,0,0,132.52,0,8.83,0,0.98,0.98,63.81,0,0.98,0,0,3.93,0,68.72,0,0,3.93,0.98,0,0.98,0.98,0
 84-94,0,0,2.12,0,5.31,2.12,18.05,6.37,0,0,1.06,5.31,106.2,1.06,0,2.12,1.06,0,377.02,0,8.5,0,1.06,0,44.61,0,2.12,0,0,3.19,0,132.75,0,0,3.19,0,1.06,2.12,1.06,1.06
 96-106,0,0,7.65,0,4.37,5.46,15.3,22.95,1.09,2.19,1.09,6.56,159.56,1.09,5.46,0,0,1.09,662.27,0,12.02,1.09,0,0,116.93,1.09,5.46,0,0,12.02,0,134.42,2.19,0,4.37,1.09,0,5.46,0,0
108-118,0,0,3.06,0.77,7.66,3.83,27.57,24.51,0.77,2.3,0.77,8.43,219.07,0,0.77,0,1.53,0,1318.99,0.77,10.72,0,0.77,0.77,104.17,0,2.3,0.77,0,7.66,0,136.34,2.3,0,1.53,0.77,0.77,1.53,0.77,0
120,0,0,0,0,3.92,7.84,17.64,11.76,0,0,3.92,1.96,164.62,0,1.96,0,0,3.92,697.68,0,3.92,0,0,0,66.63,0,0,1.96,0,5.88,0,90.15,0,0,0,0,1.96,0,0,0
