stage,epidermis,eye,glial,gut,liver,mesenchyme,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,somites,spinal.cord,vasculature
 14-21,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0
 24-34,0,0,0.82,0,0,0.82,0,2.46,2.46,0,0,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0.81,0,0.81,1.61,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,3.44,0,1.72,1.15,0,0,0,0,0,1.15,0
 60-70,0,1.96,0,0,0.98,6.87,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,1.06,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,2.3,1.53,0,0,0.77,0,0.77,0,0,0,0,0
120,1.96,0,0,1.96,1.96,0,0,0,0,0,0,1.96,0,0,0,0
