stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,6,0,2,0,1,0,0,0,0,0,1,0,0,1,0,7,3,0,0,1,15,16,0,5,0,0,25,0,1,0,1,3,0,0,2,0,0
 24-34,0,0,0,10.67,0,2.46,0,0,0.82,0,0,0,0,2.46,1.64,0,4.1,0,19.7,2.46,1.64,0,0.82,9.03,3.28,4.1,4.93,0,0,80.44,0,4.93,0,0.82,1.64,0,0,12.31,0,0
 36-46,0,0,0,11.28,0,8.06,0,0,2.42,0,0,0.81,2.42,1.61,3.22,0,2.42,0,23.36,4.83,0.81,0,2.42,11.28,4.03,5.64,3.22,0,0,68.48,0,2.42,0,0,2.42,0,0,8.06,0,0.81
 48-58,0,0,0.57,16.07,0,24.1,0.57,0,2.87,2.3,0,2.87,2.87,1.15,0,0,4.59,0,17.21,7.46,2.87,0.57,0.57,14.35,6.31,5.74,1.15,0,0,24.67,0,1.72,0,0,1.72,0,0,6.31,0,1.15
 60-70,0,0,2.94,11.78,0,54.97,0,0,6.87,1.96,1.96,0.98,5.89,2.94,1.96,0,4.91,0,9.82,40.24,0.98,0,0.98,18.65,0.98,11.78,2.94,0,0,25.52,0,3.93,0,0,5.89,0,2.94,5.89,0.98,0.98
 72-82,0,2.94,0,27.49,0,38.28,1.96,0,6.87,6.87,2.94,2.94,5.89,3.93,0,9.82,14.72,0,6.87,98.17,3.93,0,0,37.3,4.91,16.69,7.85,0,0,36.32,0.98,0.98,0,0,3.93,5.89,5.89,13.74,6.87,0.98
 84-94,0,4.25,2.12,7.43,0,37.17,0,1.06,2.12,1.06,3.19,2.12,3.19,9.56,2.12,14.87,14.87,0,11.68,58.41,2.12,1.06,0,25.49,1.06,8.5,6.37,0,0,98.77,0,2.12,0,0,1.06,19.12,7.43,8.5,4.25,2.12
 96-106,0,3.28,5.46,13.11,0,50.27,0,0,9.84,8.74,16.39,0,4.37,3.28,3.28,21.86,16.39,0,17.49,62.29,3.28,1.09,0,25.14,3.28,16.39,5.46,0,1.09,109.28,0,4.37,0,0,5.46,31.69,5.46,17.49,4.37,1.09
108-118,0,3.06,5.36,19.15,0.77,34.47,0,0.77,4.6,6.89,16.09,0,1.53,9.19,8.43,41.36,17.62,0.77,19.92,33.7,0.77,0.77,0,41.36,3.06,9.19,13.79,0,0,106.47,0,1.53,0.77,0,0,33.7,8.43,13.02,4.6,3.83
120,0,1.96,5.88,29.4,0,19.6,0,0,1.96,23.52,19.6,0,1.96,5.88,5.88,15.68,19.6,0,13.72,47.03,0,0,1.96,27.44,1.96,13.72,3.92,0,0,74.47,0,1.96,0,0,1.96,15.68,1.96,9.8,1.96,0
