stage,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,mesenchyme,muscle,neural,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,5.75,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,6.45,0,8.06,0,0,0,0,1.61,0,0
 48-58,0,0.57,0,0,0,0,0,7.46,0,10.9,0,0,0,0,0,1.15,0
 60-70,0.98,1.96,0,0,0,0.98,0,16.69,0.98,9.82,0.98,0,0,0,0,1.96,0
 72-82,0.98,12.76,0,0.98,0,0,0,53.01,0,15.71,0,0,0,0,0,0.98,0
 84-94,0,5.31,0,1.06,1.06,0,0,39.3,0,14.87,0,0,1.06,0,0,1.06,2.12
 96-106,0,7.65,0,1.09,0,0,0,45.9,0,8.74,0,0,0,1.09,1.09,0,0
108-118,0,3.83,0.77,0,0,0,0.77,26.81,0,5.36,0,0,0,0,0,0.77,0
120,0,1.96,0,0,0,0,0,15.68,0,5.88,0,0,0,0,0,0,0
