stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,26.36,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,18.39,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,5.26,7.89,5.26,0,0,31.54,0,0,5.26,0,0,0,0,0,0,0,178.75,5.26,0,0,99.89,0,0,0,0,0,0,0,0
 10-12,0,6.29,9.44,0,0,44.06,0,0,0,0,0,0,0,0,0,0,213.99,0,0,0,78.67,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,1,42,0,0,0,1,0,0,5,2,1,20,0,0
 24-34,0,0,0,3.28,0,3.28,0,1.64,0,0,0,0,0,4.93,0,0.82,47.61,0.82,0,1.64,0,0,0,0,0.82,1.64,14.78,0,0
 36-46,0,0,0,0,0,12.89,0,2.42,0,0,0,0,0,4.83,0,0.81,28.2,0,0.81,0.81,0,0,0,0,0,0,6.45,0.81,0
 48-58,0,0,0,0,0,33.85,0,2.87,0,0,0,0,0.57,4.02,0,0.57,14.35,0,0,0,0,0,0,0,0,0,3.44,0.57,0
 60-70,0,0,0,0,0,104.04,0,2.94,0,0,1.96,0.98,0,4.91,0.98,0.98,12.76,0,0,0,0,0.98,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,0,91.29,0,2.94,0,0,0.98,0,0,3.93,0,1.96,10.8,0,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,0,1.06,0,76.47,1.06,4.25,0,1.06,0,0,0,6.37,1.06,0,4.25,0,1.06,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,1.09,49.18,0,2.19,0,0,2.19,0,0,3.28,0,1.09,5.46,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,26.81,0,0,0,0,0.77,0,1.53,3.06,0,0,7.66,0,0,0.77,0,0,0,0,0,0,0,0.77,0.77
120,0,0,0,1.96,0,39.2,0,1.96,0,0,0,0,0,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0
