stage,blastomeres,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,6.29,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,1
 24-34,0,0,0,0,1.64,0,0,0,0,0,0.82,0,1.64,8.21,0.82,0.82,0,0,0,2.46,0
 36-46,0,0,0,0,3.22,0.81,0,1.61,0,0,1.61,0,0.81,15.31,0,0,0,0.81,0,7.25,0
 48-58,0,0,0,0,3.44,0,0.57,1.72,0,0,2.87,0.57,1.72,12.05,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,5.89,0,0.98,0.98,0,0,1.96,0.98,0,8.83,0,0.98,0,0,0,0.98,0
 72-82,0,0,0.98,0,4.91,0,0,3.93,0,0,3.93,0,0,2.94,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,3.19,0,0,3.19,0,0,0,0,0,4.25,0,1.06,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,2.19,0,0,2.19,0,0,5.46,0,0,0,1.09,0,0,0
108-118,0,0,0,0.77,3.06,0,0,1.53,0.77,0.77,1.53,0,0.77,1.53,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,0,0,0,3.92,0,0,3.92,0,0,0,0,0,0,0
