stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle
  3-4,13.18,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0
  5-6,24.52,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,37.76,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,7,0,6,0,0,0,0,0,4,0,214,4,1,0,2,2,0,17,0
 24-34,0,0,0,1.64,0,5.75,0,43.51,0,0,0.82,0,0,1.64,2.46,167.45,0,6.57,0,0,0,0.82,49.25,0
 36-46,0,0,0,0,0,3.22,0,33.84,0,0,0,0,0,0.81,0,47.53,0,1.61,0,0,0,0,11.28,0
 48-58,0,0,0,0,0,5.74,0.57,20.08,0,0,0,0,0.57,2.3,0.57,29.26,0,0.57,0,1.15,0,0,2.87,0.57
 60-70,0,0,0,0.98,0,5.89,0,12.76,0,0,0,0.98,0,1.96,0,32.39,0,0.98,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,4.91,0.98,11.78,0,0.98,0,0,0,1.96,0,45.16,0,3.93,0,0,0,0,0.98,0.98
 84-94,0,0,0,1.06,0,8.5,0,12.74,0,0,0,0,0,0,0,23.36,0,5.31,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,1.09,3.28,0,7.65,0,0,0,0,0,2.19,0,17.49,0,4.37,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,4.6,0.77,9.96,0,0,0,0,0,2.3,0,19.92,0,8.43,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,1.96,5.88,0,0,0,0,0,0,0,15.68,0,9.8,0,0,0,0,0,0
