stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,1,1,1,0,0,0,0,2,0,0,1,0,0,1,0,6,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,1.61,0.81,0,0,0,0.81,1.61,2.42,0,0,0,0,0,0,0.81,1.61,0
 48-58,0,0,0,0,0,1.15,0,0,0,1.15,0,3.44,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,0,0,0.98,0,1.96,0,1.96,0,0,0,0,0,0,0
 84-94,0,1.06,0,0,0,1.06,0,0,0,0,0,1.06,0,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,0,0,1.09,0,0,0,2.19,1.09,0,2.19,0,1.09,0,0,2.19,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0,0,1.53,0,2.3,0,1.53,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
