stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,1,16,0,1,0,1,1,4,0,3,5,0,0,0
 24-34,0,0.82,0,7.39,0,0,1.64,0.82,0,0,0,0.82,0,6.57,0,1.64,31.19,0,0,0.82,0,4.1,0,0,0,4.93,0,0,0
 36-46,0,0,0,1.61,0.81,0,3.22,0,0,0,0,0,0,3.22,0,2.42,12.89,0,0,0,0,1.61,0,0,0,0.81,0,0.81,0
 48-58,0,0.57,0,1.15,0,0,0,0,0,0,0,0,1.15,0.57,0,0,5.16,0,0,0,0,0.57,0,0,0,0.57,0,0,0
 60-70,0,1.96,0,0.98,0,0,0,0,0.98,0,0,0.98,0,0.98,0,0.98,4.91,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,3.93,0,0.98,2.94,0,0,0,0.98,0,0.98,4.91,0,0.98,8.83,0,0,0,0,1.96,0,0,0,0.98,0,1.96,0
 84-94,0,2.12,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0,5.31,0,0,0,0,0,0,0
 96-106,0,0,1.09,2.19,0,0,0,1.09,1.09,0,0,0,0,2.19,1.09,0,2.19,0,1.09,0,0,2.19,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,0,0.77,0,0,0.77,0,0.77,0,2.3,0,0.77,1.53,0,0,0,0,2.3,0,0,0,0,0,0.77,0
120,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,0,3.92,0,1.96,1.96,0,0,0,0,1.96,0,0,0,0,0,0,1.96
