stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,42.06,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,1,0,1,0,0,1,0,31,0,0,0,0,0
 24-34,0,1.64,0,3.28,0,0.82,0,2.46,0,0.82,0,0,0.82,0,0,0,0,1.64,0,3.28,0,0,0.82,140.37,0,0,0,1.64,0,0.82,4.1,0.82,76.34,0,0,0,0,0
 36-46,0,0,0,0,0,4.83,0,0,0,1.61,0,0,0.81,0,0,0,0,0,0.81,1.61,0,0,0,295.68,0,3.22,0,0.81,0,0,0,0,106.35,0,0,0,0,0
 48-58,0,0.57,0,2.3,0,48.77,0.57,0,1.15,8.03,0,0,0,0,0,0.57,0.57,0.57,0.57,9.75,0.57,0,1.72,438.96,0.57,4.02,0.57,1.15,0,0,0,0,78.61,0,0,0.57,0,0
 60-70,0,0,0,2.94,0,148.21,0,0,1.96,12.76,0,0,0,0.98,0,0,0,0,0,15.7,0,0,1.96,916.74,0,1.96,0.98,1.96,0,0,0,0,120.73,0,0,0.98,0,0
 72-82,0,0.98,0,11.78,0.98,375.98,0,0.98,1.96,45.16,2.94,0,0.98,0.98,0,0,1.96,0.98,0,32.39,0,0.98,3.93,1358.62,0,2.94,5.89,3.93,0,0,0,0,76.57,0,1.96,0.98,0,1.96
 84-94,0,0,0,15.93,1.06,278.25,0,1.06,1.06,38.23,0,0,1.06,1.06,1.06,2.12,0,0,0,21.24,0,2.12,2.12,772.1,0,0,6.37,5.31,0,1.06,1.06,0,42.48,1.06,1.06,0,2.12,3.19
 96-106,0,2.19,0,12.02,3.28,295.07,0,0,1.09,36.06,3.28,0,1.09,3.28,3.28,4.37,0,1.09,0,22.95,2.19,3.28,0,709.26,0,4.37,12.02,6.56,0,0,0,0,30.6,0,0,3.28,1.09,2.19
108-118,0,0.77,0,6.13,0.77,230.55,0.77,1.53,0.77,25.28,4.6,0,0,0,3.83,0.77,1.53,0.77,0,23.74,0,1.53,2.3,785.88,0,1.53,11.49,4.6,0,0.77,0,0,21.45,3.06,1.53,3.06,0,0
120,0,0,0,11.76,0,227.34,1.96,1.96,0,25.48,0,0,0,1.96,1.96,1.96,1.96,1.96,1.96,17.64,0,0,3.92,1013.21,1.96,3.92,5.88,5.88,0,0,0,0,37.24,0,1.96,3.92,0,1.96
