stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1462.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,649.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,30.65,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,13.14,0,31.54,0,0,0,65.72,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,467.91,26.29,0,0,181.38,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,40.91,0,3.15,0,72.38,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,799.33,22.03,0,0,258.05,0,3.15,3.15,3.15,22.03,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,59,14,0,36,0,0,4,3,0,1,0,0,0,0,0,0,39,0,0,16,378,12,2,5,13,0,23,0,38,0,1,34,126,0,0,2,0,0
 24-34,0,0.82,0.82,1.64,14.78,4.1,0,105.89,0,1.64,13.95,2.46,0.82,0,2.46,3.28,0,2.46,0,0,70.59,0,0,21.34,603.33,0.82,2.46,4.93,0,0,96.04,0,0,1.64,0,8.21,135.44,0,0,9.85,0,3.28
 36-46,0,0,0,0.81,8.06,0.81,0,153.88,1.61,0.81,12.09,0,0,2.42,0.81,0,2.42,0.81,0.81,0,58.01,0,0,16.92,366.58,0,4.83,4.83,0,0.81,70.9,0,0,0,0,0.81,82.98,0,0,4.03,0,1.61
 48-58,0,0,0,0.57,9.75,0,0,153.21,1.72,1.72,27.54,0.57,0,1.72,1.72,0,0.57,0.57,0.57,1.15,74.59,1.15,1.72,17.79,243.29,0.57,1.15,2.87,0,0,17.79,0,0,0,0,0,48.2,0,0.57,5.16,0,1.72
 60-70,0,0,0,0,11.78,0.98,0,127.6,0,0.98,31.41,1.96,0,0.98,0.98,0,0.98,0,0.98,0,69.69,0,2.94,9.82,194.34,1.96,1.96,1.96,0,0,17.67,0,0,0,0,0,13.74,0.98,0.98,3.93,0,1.96
 72-82,0,0,0,0,5.89,1.96,0,83.44,0.98,4.91,38.28,4.91,0,1.96,1.96,2.94,1.96,0.98,0,0,82.46,0,1.96,14.72,160.01,0.98,2.94,4.91,0,0,13.74,0,0,1.96,0,0,8.83,0,1.96,7.85,0.98,2.94
 84-94,0,0,0,0,15.93,3.19,0,64.78,2.12,2.12,20.18,2.12,0,1.06,5.31,0,1.06,1.06,2.12,3.19,56.29,0,3.19,10.62,99.83,2.12,2.12,2.12,0,0,31.86,0,0,0,0,0,8.5,1.06,5.31,10.62,2.12,2.12
 96-106,0,0,2.19,0,12.02,2.19,0,43.71,0,1.09,24.04,2.19,0,1.09,4.37,3.28,1.09,2.19,2.19,1.09,41.53,0,3.28,5.46,74.31,1.09,4.37,5.46,0,2.19,16.39,0,0,1.09,0,0,3.28,0,1.09,12.02,0,1.09
108-118,0,0,0,0,12.26,2.3,2.3,34.47,2.3,2.3,22.98,2.3,0,0,5.36,1.53,3.06,0,1.53,0.77,34.47,0,1.53,9.96,93.45,0,0.77,1.53,0,1.53,22.98,0.77,0,0,1.53,0,1.53,0.77,0,4.6,0.77,3.83
120,0,0,1.96,0,7.84,9.8,3.92,33.32,1.96,0,15.68,3.92,0,0,9.8,7.84,1.96,3.92,0,0,37.24,0,0,3.92,113.67,1.96,1.96,1.96,0,0,27.44,0,0,0,0,0,1.96,1.96,0,9.8,0,0
