stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,81.49,5.26,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,31.47,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,9,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,3,29,0,0,3,0,0,1,3,0,4,9,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,0,8.21,0,0,0,0.82,0,0,0,0,0,0,0,0,8.21,0.82,0,0.82,57.46,0,0.82,0,0,1.64,0,0,0,1.64,10.67,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,7.25,0,0,0,3.22,0,0,0,0,0,0,0,0,4.83,0.81,0.81,1.61,52.37,0,3.22,0,0,2.42,0,0,0,0,10.47,0,0,0,0,0.81
 48-58,0,0,0,0,1.15,0,0,18.94,0,0,0,6.31,0,0,0,0,1.15,0,0,0,11.48,0.57,0,1.72,57.95,0,0,0,0,0.57,0,0,0,0,9.75,0,0,0,0,1.15
 60-70,0,0,0,0,0.98,0.98,0,16.69,0,0.98,0,6.87,0,0,0,0,0,1.96,0,0.98,14.72,0,0,0,43.19,0,0.98,0.98,0,0.98,0,0,0,0,6.87,0,0,0,0,0.98
 72-82,0,0,0,0,1.96,0,0,25.52,0,1.96,0.98,10.8,0.98,0,0,1.96,0,0,0,0,26.5,0,0.98,2.94,51.05,0,1.96,0.98,0,0.98,0,0,0,0,1.96,0,0.98,2.94,0.98,0
 84-94,0,0,2.12,0,3.19,1.06,0,13.81,0,0,0,8.5,4.25,0,0,0,3.19,0,0,0,15.93,1.06,2.12,1.06,28.68,1.06,0,1.06,0,5.31,0,0,0,0,6.37,0,0,2.12,0,3.19
 96-106,0,0,0,0,4.37,0,0,10.93,0,0,1.09,7.65,1.09,0,1.09,0,0,0,0,1.09,13.11,0,0,1.09,19.67,0,3.28,1.09,0,2.19,0,0,0,0,1.09,1.09,0,2.19,0,0
108-118,0,0,0.77,0,4.6,0.77,0.77,8.43,0.77,0,0.77,9.96,0,0,0.77,1.53,2.3,1.53,0.77,0,13.79,0,0,0.77,26.81,0,1.53,0.77,0,1.53,0,0,1.53,0,3.06,0,0.77,2.3,0,1.53
120,0,0,0,0,13.72,0,0,15.68,0,0,0,11.76,3.92,0,3.92,1.96,0,0,1.96,0,3.92,0,1.96,3.92,31.36,0,1.96,0,0,3.92,0,0,0,0,3.92,0,0,1.96,0,0
