stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,3,2,0,6,1,0,0,0,3,0,2,14,1,0,0,0,0,2,0,1,19,0,1,0,0
 24-34,0,0,1.64,0,1.64,0,5.75,0,0,0,0,1.64,0,1.64,39.4,0.82,3.28,0.82,0,0,0,0.82,0.82,15.6,0,1.64,0,0
 36-46,0,0,0,0,7.25,0.81,5.64,0,0,0,0,8.06,0.81,0.81,13.7,0.81,3.22,0.81,0,0.81,0,1.61,0,8.06,0,0.81,0,0
 48-58,0,0,0,0,3.44,0,8.61,0,0,0.57,0,6.89,0,2.3,17.21,0,2.87,0.57,0,0,0,0,0,9.75,0,1.15,0,0
 60-70,0,0,0,0,10.8,0.98,5.89,0,0,0,0,6.87,0.98,0.98,7.85,0,3.93,1.96,0,0,0,1.96,0,1.96,0,0,0,0
 72-82,0,0,0,0,8.83,0.98,5.89,0.98,0,0.98,0,9.82,0,0.98,8.83,0,2.94,3.93,0,0,0,0,0,4.91,0,0,0,0
 84-94,0,0,2.12,0,3.19,0,0,0,1.06,0,0,3.19,0,0,5.31,0,2.12,0,0,0,0,1.06,0,2.12,0,0,0,0
 96-106,0,0,0,0,5.46,0,1.09,0,1.09,3.28,0,5.46,0,0,2.19,0,4.37,3.28,0,0,0,1.09,0,2.19,1.09,1.09,0,1.09
108-118,0,0,0.77,0,0.77,0,3.06,0,0,1.53,0,4.6,0,0.77,4.6,0,3.06,1.53,0,0,0,0.77,0,0.77,0,0,0.77,0
120,0,0,0,0,1.96,0,1.96,0,0,0,1.96,1.96,0,3.92,5.88,0,3.92,0,0,0,0,1.96,0,1.96,0,3.92,0,0
