stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,177.76,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,10.51,0,0,0,0,0,5.26,0,0,0,0,60.46,0,18.4,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,9.44,0,0,0,0,53.5,3.15,22.03,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,2,0,0
 24-34,0,0,0,0,0,1.64,0.82,0,0,0,0.82,0.82,0,6.57,0.82,0,2.46,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,7.25,0,0,0.81,0,0,0,1.61,0.81,0.81
 48-58,0,0,0,0.57,0,2.3,0,0,0,0.57,0.57,1.15,0,2.3,0,0,0.57,0,0,0,1.72,0,0.57
 60-70,0,0,0,0,0,4.91,0,1.96,0,0,0.98,0,0.98,9.82,0,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,0,1.96,0,0.98,0,0,0,2.94,0,5.89,0.98,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,0,3.19,0,3.19,0,0,3.19,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0,0.77,0,0,0,0.77,0,1.53,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,0,0,0,3.92,0,3.92,0,0,1.96,0,0,0,0,0,1.96
