stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,31.47,0,62.94,0,3.15,0,207.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1551.46,3.15,0,0,62.94,0,0,0,12.59,0,3.15,0,0,0,0,0
 14-21,0,2,78,579,103,0,207,0,0,0,69,15,0,3,0,3,2,3,0,15,163,1,0,59,4808,2,1,70,3,169,1,19,46,1,20,1203,0,16,0,1
 24-34,0,1.64,31.19,146.11,12.31,0,69.77,0,0.82,0,83.73,2.46,0,0.82,0,0.82,2.46,5.75,9.85,9.85,195.36,3.28,0,35.3,2798.3,0,2.46,12.31,0,501.54,0,0.82,67.31,0,4.93,1151.66,0,46.79,0,0.82
 36-46,0,0,4.03,29,2.42,0,82.18,0,0.81,0,37.06,4.03,0,0.81,0,1.61,2.42,1.61,3.22,0,45.92,2.42,0,20.14,880.6,0.81,1.61,1.61,0,369,0,0.81,37.87,0,0,684.01,0,20.14,0,1.61
 48-58,0,0,0,8.61,0.57,0,81.48,0,1.72,1.72,24.67,6.89,0.57,0.57,0,0,0,0.57,4.02,0,17.79,0.57,0.57,8.03,264.52,0.57,1.15,0.57,0.57,119.93,0,0,25.25,0,0,194.52,0,4.59,0,0.57
 60-70,0,0,0,0.98,0,0,72.63,0,3.93,0.98,29.45,2.94,0,0,1.96,0,5.89,0,4.91,0,14.72,0,0,1.96,253.23,0,0.98,1.96,0,101.1,0,0.98,20.61,0,0,39.26,0,3.93,0,0
 72-82,0,0,0,2.94,9.82,1.96,65.77,0,0.98,1.96,36.32,1.96,0,0,0,0,4.91,0,4.91,0,16.69,1.96,0,5.89,297.44,0,0.98,1.96,0,117.8,0,0,12.76,0,0,10.8,0.98,3.93,0,0.98
 84-94,0,0,0,5.31,5.31,3.19,35.05,1.06,4.25,2.12,11.68,3.19,0,0,2.12,0,1.06,1.06,11.68,0,8.5,2.12,1.06,2.12,166.74,0,1.06,1.06,0,323.92,0,0,22.3,0,0,16.99,1.06,2.12,1.06,0
 96-106,0,0,0,12.02,3.28,1.09,40.44,0,7.65,2.19,17.49,3.28,0,0,2.19,1.09,3.28,0,4.37,0,15.3,2.19,0,6.56,174.86,0,0,3.28,0,280.86,0,0,13.11,0,0,1.09,0,1.09,0,0
108-118,0,0,0.77,14.55,3.06,0.77,26.04,0,7.66,0.77,23.74,3.06,0,0,0,4.6,0.77,0.77,6.13,0,12.26,2.3,0.77,2.3,172.34,0,0,0,0,281.11,0,0,3.83,0,0,1.53,0.77,0,0.77,2.3
120,0,0,0,15.68,0,0,31.36,0,5.88,0,9.8,0,0,0,0,1.96,0,0,1.96,0,7.84,1.96,0,0,211.66,0,0,0,0,156.78,0,0,1.96,0,0,3.92,0,1.96,0,0
