stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,mesenchyme,neural,otic,periderm,spinal.cord
  3-4,52.71,0,0,0,0,0,0,0,13.18,0
  5-6,61.3,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,31.54,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,1,0,0,0,0,3,0,0,0
 24-34,0,0,0.82,0,0,0.82,23.8,0.82,0.82,0.82
 36-46,0,0,0,0,0.81,0,8.86,0,0,1.61
 48-58,0,0,0.57,0,0.57,0,3.44,1.15,0,1.15
 60-70,0,0,0.98,0,0,0.98,5.89,0.98,0,0.98
 72-82,0,0,0.98,0,0,0,1.96,1.96,0,0
 84-94,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,1.09,1.09,1.09,0,0,2.19,0,0,0
108-118,0,0.77,0,0,0.77,0.77,1.53,0.77,0,0
120,0,0,1.96,0,0,1.96,5.88,0,0,0
