stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,50.35,6.29,0,0,9.44,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,8,1,0,2,0,0,0,1,0,0,1,0,2,0,0,0,1,2,0,0,0,43,3,3,0,1,0,1,0,2,0,0,2,18,0,0,1,0,1
 24-34,0,0,2.46,10.67,4.1,0,24.63,0.82,2.46,0.82,2.46,0,0,1.64,0,0.82,0,0.82,0,5.75,18.88,0,0,9.85,303.72,1.64,13.95,1.64,0,0,7.39,0,0,0,0,2.46,81.26,0,0,9.03,0,1.64
 36-46,0,0,0,4.83,0,0,182.89,0,0,4.03,19.34,0.81,0,1.61,0,1.61,0.81,0,0,8.06,31.42,0.81,0,10.47,719.46,4.83,17.72,0.81,0,0.81,5.64,0,0,0,0,0,158.72,0,0.81,13.7,0,10.47
 48-58,0,0,0.57,6.31,1.15,0,473.96,0,2.3,8.03,46.48,0,0.57,2.3,0,1.72,0,0,1.72,15.49,67.71,1.72,1.72,11.48,879.07,2.87,9.75,1.72,0,0.57,14.92,0,0,0.57,0,0,173.29,0,1.72,13.2,0,17.79
 60-70,0,0,0,8.83,0.98,0,776.38,1.96,1.96,7.85,117.78,2.94,0.98,3.93,1.96,0.98,12.76,2.94,1.96,6.87,139.38,0,6.87,6.87,1010.97,0,15.7,4.91,0,0.98,13.74,0,0,2.94,1.96,0,162.93,0,2.94,16.69,0.98,10.8
 72-82,0,0,6.87,11.78,8.83,0.98,807.91,2.94,3.93,15.71,190.44,3.93,0.98,5.89,1.96,0.98,8.83,3.93,0.98,3.93,231.67,0,11.78,11.78,952.21,0.98,15.71,11.78,0,0.98,8.83,0,0,0.98,0,0,95.22,0,5.89,34.36,3.93,16.69
 84-94,1.06,0,3.19,21.24,3.19,0,463.05,2.12,5.31,6.37,131.69,9.56,0,3.19,3.19,7.43,21.24,4.25,1.06,15.93,129.57,1.06,3.19,9.56,412.07,5.31,15.93,9.56,0,2.12,20.18,0,0,1.06,0,0,50.98,3.19,7.43,27.61,8.5,10.62
 96-106,0,0,1.09,20.76,5.46,1.09,304.9,1.09,1.09,2.19,101.63,13.11,0,5.46,4.37,5.46,8.74,8.74,3.28,7.65,115.84,1.09,10.93,8.74,292.88,6.56,14.21,16.39,0,5.46,15.3,1.09,0,1.09,1.09,0,16.39,6.56,2.19,37.16,17.49,16.39
108-118,0,0,1.53,16.85,4.6,1.53,258.9,2.3,4.6,4.6,111.83,9.96,0,1.53,2.3,2.3,19.92,4.6,2.3,11.49,83.49,0.77,6.89,4.6,357.7,2.3,16.09,17.62,0,3.06,11.49,0,0,1.53,2.3,0,13.02,5.36,3.06,22.21,5.36,10.72
120,0,0,3.92,19.6,19.6,1.96,266.53,0,5.88,7.84,117.59,5.88,0,7.84,9.8,7.84,9.8,17.64,0,7.84,113.67,1.96,5.88,9.8,478.19,5.88,19.6,9.8,0,7.84,5.88,0,0,1.96,0,0,15.68,3.92,3.92,23.52,11.76,5.88
