stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,11,0,0,1,0,0,1,0,2,6,0,0,0
 24-34,0,1.64,0,0.82,0,0,0,0,0,0,0,0.82,0,0,2.46,18.06,1.64,0,0,0,2.46,0,0.82,0,5.75,0,0.82,0
 36-46,0,0.81,0,0.81,0,0,0.81,0,0,0,0,4.03,0,0,1.61,24.17,0,0.81,0,0,0.81,0,0,0,7.25,0,0,0
 48-58,0,0.57,0,5.74,0,0.57,2.87,0,0,0,0.57,3.44,0,0,0,12.62,0.57,0,0,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,3.93,0,0,0.98,0.98,0,0,0,2.94,0,0,0,5.89,0,0,0,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0.98,1.96,10.8,0.98,0,5.89,0,0,0.98,0,12.76,1.96,0,0,12.76,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,1.06,3.19,4.25,0,0,3.19,1.06,1.06,0,0,7.43,1.06,0,0,2.12,0,0,0,0,1.06,0,0,0,3.19,0,0,0
 96-106,0,2.19,2.19,4.37,1.09,1.09,12.02,0,0,0,0,8.74,0,1.09,1.09,6.56,0,1.09,0,0,1.09,0,0,0,0,0,1.09,0
108-118,0.77,0,2.3,1.53,0,0,1.53,1.53,0,0,0,4.6,0.77,0,0,5.36,0,0,0,0,3.06,0,0,0,0,0,0.77,0.77
120,0,1.96,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0,0,5.88,0,0,0,1.96,3.92,0,0,0,0,1.96,1.96,0
