stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,12.26,318.74,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,105.15,0,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,0,0,18.88,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,3,7,5,1,0,1,0,1,0,0,0,15,0,0,0,4,0,2,27,1,2,1,0,2,6,0,7,0,0,7,0
 24-34,0,0,0.82,0.82,4.1,0.82,4.1,0,0,0,0.82,0,0,1.64,32.83,2.46,0,0,4.1,0,0.82,64.85,9.03,0,0,2.46,0,4.93,0,18.06,0,0,36.94,0
 36-46,0,0,0,0,0,0,24.98,0,0,0,1.61,0,0,0.81,24.17,0,0,0,1.61,0,0,67.68,4.03,0.81,0,0,0,4.03,0,14.5,0,0,19.34,0
 48-58,0,0,0,0,1.72,0,22.38,0,1.15,0,1.15,0,0,0,17.21,0,0.57,1.15,2.3,0,1.72,43.61,5.16,0,0,0.57,0,1.72,0,5.16,0,0,30.99,0
 60-70,0,0,0,0,0,0,18.65,0,1.96,0,1.96,2.94,0,0.98,12.76,0,0.98,0,0.98,0.98,0,67.73,3.93,0,0,1.96,0,1.96,0.98,1.96,0,0,37.3,0
 72-82,0,0,1.96,0,0.98,0,10.8,0.98,0,0,1.96,8.83,0,0,29.45,1.96,0.98,0,3.93,0,0,46.14,7.85,0.98,0,1.96,0,5.89,0,2.94,0,1.96,52.03,0.98
 84-94,0,0,0,0,2.12,0,8.5,0,5.31,1.06,1.06,18.05,0,1.06,45.67,2.12,3.19,1.06,6.37,0,1.06,27.61,11.68,1.06,0,5.31,0,7.43,0,0,0,0,38.23,0
 96-106,0,0,3.28,0,7.65,0,7.65,0,4.37,2.19,2.19,12.02,0,1.09,43.71,3.28,5.46,1.09,3.28,0,1.09,18.58,8.74,0,0,2.19,0,3.28,0,2.19,0,0,77.59,0
108-118,0,0,0.77,0,9.19,0.77,4.6,0,4.6,0,0.77,18.38,0,1.53,33.7,3.06,0.77,0.77,3.83,0.77,0,24.51,9.96,0.77,0,1.53,0,5.36,0,0.77,5.36,0,58.21,0
120,0,0,0,0,5.88,0,3.92,0,5.88,0,1.96,15.68,0,0,58.79,0,0,0,0,0,0,21.56,7.84,0,0,0,0,3.92,0,1.96,1.96,0,60.75,0
