stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,13,1,0,0,0,0,0,0,0,0,0,1,0,19,1,0,0,0,0,2,0,2,5,0,0,0
 24-34,0,0,0,0,0.82,0,1.64,0,0,0,1.64,0,0,0,0,0,0.82,0,41.04,0,0.82,0.82,0,0,0,0,1.64,9.85,0,2.46,0
 36-46,0,0,0,0,0,0,2.42,0,0,0,4.03,0.81,0,0,0,0,4.03,0,45.92,0,0,0,0,0,0,0,0,3.22,0,0,0
 48-58,0,0,0,0,0,0,5.74,0,0,0,5.16,0,0,0,0,0,4.02,0,80.33,0,0,0,0,0,0,1.15,0,7.46,0,0,0
 60-70,0,0,0,0,0.98,0,7.85,0,0,0,8.83,0,0,0,0,0,6.87,0,194.34,0,0,0,0,0,0,0,0,18.65,0.98,0,0
 72-82,0,0,0.98,0,0.98,0,15.71,0,0,1.96,6.87,0,0,0,0,0.98,20.61,1.96,286.65,0,0.98,1.96,0,0.98,0,1.96,0,12.76,0.98,0.98,0
 84-94,0,0,1.06,0,2.12,1.06,18.05,0,0,2.12,4.25,0,0,0,1.06,0,6.37,0,110.45,0,0,0,0,0,0,0,0,7.43,0,1.06,1.06
 96-106,0,0,0,0,3.28,0,9.84,0,0,0,6.56,0,1.09,0,0,0,17.49,0,99.45,0,0,1.09,0,0,0,0,0,4.37,1.09,1.09,0
108-118,0,0,0,0,1.53,0,5.36,1.53,0.77,0.77,3.06,0,0,0.77,1.53,0,15.32,0,98.81,0,0,1.53,0,0,0,0,0,6.13,0,0,0
120,0,0,0,0,1.96,0,13.72,3.92,0,0,1.96,0,0,0,0,0,1.96,1.96,152.86,0,1.96,3.92,0,0,0,0,0,1.96,0,0,1.96
