stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,18.88,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,0,0,0,3,0,11,0,14,0,0,0,0,0
 24-34,0,0,0.82,3.28,0,0.82,0,0,0.82,9.85,0,0,0.82,0,0,0,1.64,0,0,0.82,121.49,0,2.46,0,0,0,0,0,41.86,0,0,2.46,0,0.82
 36-46,0,0,0,0.81,0,8.06,0,0,0,23.36,0,0,0,0,0,0,0.81,0,0,0,162.75,0,0.81,0.81,0,2.42,0,0,60.43,0,0,0,0,0
 48-58,0,0,0,2.3,0,57.95,0,0.57,0,78.04,0,0,0,0,0,0,8.61,0.57,0.57,0.57,230.1,0,0,0.57,0,1.15,0,0,48.2,0,0,1.72,0,0
 60-70,0,0,0,2.94,0,190.42,0,0,0,230.66,0,0.98,0,0.98,0,0.98,9.82,0,0,0.98,395.55,0,0,0.98,0,2.94,0,0,44.17,0,0,0,0,1.96
 72-82,0,0,0,2.94,2.94,318.06,0,0,0.98,347.51,1.96,0.98,0.98,0.98,6.87,0,17.67,0,0,2.94,528.13,0,0,5.89,0,1.96,0,0,31.41,0,0.98,1.96,0,0.98
 84-94,0,0,0,7.43,1.06,182.67,1.06,0,0,210.28,3.19,0,1.06,2.12,0,0,15.93,0,1.06,1.06,303.74,0,3.19,7.43,0,5.31,0,0,19.12,0,0,1.06,2.12,1.06
 96-106,0,0,0,4.37,4.37,172.67,0,0,1.09,251.35,1.09,1.09,0,2.19,1.09,2.19,16.39,1.09,1.09,3.28,310.37,1.09,2.19,13.11,0,4.37,0,0,6.56,1.09,1.09,0,0,0
108-118,0,0,0,4.6,0,166.98,0,0,0,168.51,0.77,0,0,0,0.77,0,13.02,0,1.53,2.3,304.09,0,0.77,6.13,0,3.83,0,0.77,6.13,0.77,0,0,0,0.77
120,0,0,0,3.92,0,146.98,0,0,0,252.81,0,1.96,0,5.88,0,0,15.68,0,0,1.96,348.84,0,1.96,5.88,0,3.92,0,1.96,17.64,0,0,0,0,1.96
