stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,4,1,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,81,2,0,0,0,0,0,3,0,0,0,49,0,0,0,0,0
 24-34,0,0,0.82,3.28,0,0,2.46,0,4.1,0.82,4.93,0,0.82,0.82,0,0.82,0,1.64,0,0.82,4.93,0,0,1.64,429.31,0.82,1.64,1.64,0,0,0.82,0,0,0,0.82,144.47,0,0,3.28,0,0
 36-46,0,0,0.81,0.81,0,0,20.14,0,0.81,0,4.83,0,0,1.61,0,0,0,2.42,0,0,5.64,0.81,0,2.42,1175.47,0,0.81,0.81,0,0,1.61,0,0,1.61,0,213.5,0,0,2.42,0,0
 48-58,0,0,0,3.44,0.57,0,140.58,0.57,0.57,1.15,14.92,0.57,0.57,0,1.15,0,0,1.15,0.57,0.57,15.49,0,0,0,1790.27,1.15,1.15,0.57,0,0,2.87,0,0,0.57,0,250.18,0,0,1.72,0,1.72
 60-70,0,0,0,4.91,0.98,0,296.42,0,1.96,0.98,20.61,0.98,0,0.98,1.96,0,1.96,4.91,0,0,26.5,0,1.96,0.98,2509.75,0,0,0.98,0,0,2.94,0,0.98,0,0,250.29,0,0,1.96,1.96,0.98
 72-82,0,0,0,18.65,1.96,0,395.61,0,0.98,1.96,46.14,0,0,0.98,0,0,1.96,2.94,0,0,52.03,0,1.96,6.87,2421.76,0.98,0.98,7.85,0,0,2.94,0,1.96,0,0,164.92,5.89,0,4.91,1.96,0.98
 84-94,0,0,2.12,20.18,1.06,0,299.49,1.06,3.19,1.06,60.54,5.31,0,0,1.06,1.06,2.12,2.12,3.19,0,48.85,0,5.31,1.06,1281.88,0,1.06,10.62,0,0,2.12,0,1.06,0,0,112.58,23.36,1.06,6.37,0,1.06
 96-106,0,0,3.28,21.86,5.46,0,240.43,0,1.09,3.28,49.18,2.19,0,1.09,0,1.09,1.09,4.37,2.19,0,51.36,0,0,2.19,1037.11,0,2.19,6.56,0,2.19,6.56,0,0,0,0,49.18,29.51,0,7.65,0,2.19
108-118,0,0,0.77,16.85,3.83,0,192.26,0,0.77,0.77,36,2.3,0,0,0,1.53,0,5.36,0,0,36,0.77,0,4.6,1192.6,0,2.3,6.13,0,0.77,2.3,0,0,0,0,30.64,39.06,2.3,3.83,1.53,1.53
120,0,0,0,35.28,1.96,1.96,217.54,0,1.96,1.96,50.95,1.96,0,0,1.96,1.96,0,1.96,1.96,0,39.2,0,0,1.96,1620.74,0,1.96,13.72,0,0,7.84,0,1.96,0,0,50.95,15.68,0,3.92,1.96,0
