stage,epidermis,eye,fin.mesenchyme,glial,liver,mesenchyme,mural.cell,muscle,neural,otic,periderm,spinal.cord,vasculature
 14-21,0,0,0,0,0,1,0,0,4,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,5.75,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0.81,31.42,0,0,8.86,0
 48-58,0,2.3,0,1.15,0,2.87,0,0,17.21,0,0,5.74,0
 60-70,0,19.63,0,0.98,0,1.96,0,0,26.5,0,0,7.85,0.98
 72-82,0,12.76,0,1.96,0,0,0,0,14.72,0,0,0.98,0
 84-94,0,11.68,1.06,3.19,0,2.12,0,0,15.93,0,0,2.12,1.06
 96-106,0,3.28,0,0,0,0,0,0,9.84,1.09,0,0,1.09
108-118,0.77,4.6,0,1.53,0,2.3,0.77,0,7.66,0,0.77,2.3,0.77
120,0,5.88,0,1.96,0,1.96,0,0,9.8,0,0,0,0
