stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,1093.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.89,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,34.17,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.88,9.44,0,0,91.26,0,0,0,0,6.29,0,6.29,0,0,0,0,0
 14-21,0,0,0,7,153,13,0,21,0,0,0,2,4,2,0,0,0,0,0,1,53,0,0,36,283,19,0,5,18,0,1,5,99,0,42,81,88,0,8,0,1
 24-34,0,0,0,3.28,211.78,3.28,0,52.53,0,10.67,6.57,16.42,0.82,2.46,0.82,0.82,0,2.46,0.82,0,163.35,0,0.82,64.85,439.98,25.45,0.82,6.57,0,0,2.46,0.82,0,3.28,9.03,39.4,119.02,0,50.89,0,2.46
 36-46,0,0,0,0,90.23,0.81,0,86.21,0.81,26.59,9.67,80.57,1.61,7.25,0,0,0.81,0,0,0,230.42,1.61,0,68.48,333.55,16.92,1.61,1.61,0,0.81,2.42,1.61,0,0.81,2.42,0,91.04,0,32.23,0,0.81
 48-58,0.57,0,0,0,76.32,0,0,174.44,0.57,51.07,17.21,179.6,0,5.16,0,0,2.3,0,1.15,0.57,361.5,0,9.18,45.33,185.34,7.46,0,1.72,0,0,0.57,0,0,0,1.72,0,83.78,1.15,27.54,0,1.15
 60-70,0.98,0,0,0,58.89,0,0,409.29,0.98,54.97,13.74,295.44,0.98,5.89,0,0,2.94,0,0,0.98,384.76,0.98,7.85,23.56,93.24,5.89,0,3.93,0,6.87,3.93,0,0,1.96,1.96,0,43.19,12.76,17.67,2.94,0.98
 72-82,0,0,0.98,0,104.06,0.98,0,576.24,2.94,78.53,26.5,333.77,0,10.8,0,0,0.98,2.94,0.98,0,531.08,0.98,13.74,48.1,134.49,5.89,0,7.85,0,7.85,1.96,0,0,0.98,0,0,13.74,16.69,52.03,10.8,0.98
 84-94,0,0,0,0,190.1,1.06,0,375.96,4.25,131.69,16.99,204.97,0,6.37,2.12,1.06,6.37,1.06,1.06,0,354.72,0,18.05,32.92,93.46,3.19,0,4.25,0,5.31,9.56,0,0,3.19,1.06,0,19.12,8.5,44.61,10.62,0
 96-106,0,0,0,0,220.76,2.19,0,309.28,5.46,98.36,9.84,196.71,1.09,9.84,4.37,0,5.46,0,0,0,301.63,4.37,17.49,45.9,107.1,2.19,5.46,12.02,0,13.11,6.56,0,0,2.19,0,0,9.84,13.11,40.44,10.93,2.19
108-118,0,0,0,0,206.04,1.53,0.77,223.66,3.83,165.45,9.19,187.66,3.83,6.13,2.3,2.3,8.43,0.77,1.53,0.77,218.3,2.3,9.96,42.89,95.75,6.89,0,2.3,0,13.79,10.72,0.77,0,1.53,2.3,0,3.83,3.06,32.17,8.43,5.36
120,0,0,0,0,141.1,0,0,152.86,3.92,76.43,13.72,129.35,0,5.88,1.96,0,5.88,0,0,0,133.27,0,3.92,35.28,105.83,7.84,0,7.84,1.96,5.88,3.92,0,0,1.96,0,0,7.84,7.84,27.44,7.84,0
