stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,95,0,0,1,7,0,0,0,0,2,0,0,0,1,0,0,7,4,0,0,9,0,0,0,0,15,0,0,0,0
 24-34,27.09,0,0,80.44,21.34,0,0,0,0,16.42,0,0.82,0,1.64,1.64,0,13.13,0,0,0.82,0,0,0.82,0,0.82,5.75,0,0,0.82,0
 36-46,0,0,0,99.9,3.22,0,0.81,0,0,37.87,0,0,0,4.03,0,0.81,16.11,0.81,0,0,0,0,2.42,0,0,2.42,0,0,0,0
 48-58,1.15,0,0,93.53,2.3,0,0.57,0,0,36.15,0,0.57,0,1.72,0.57,0,14.92,0,0.57,0,0,0,0,0.57,0,7.46,0,0,0,0
 60-70,2.94,0,0,84.41,0.98,0,13.74,0,0,42.21,0.98,0.98,0,3.93,0.98,0,14.72,0,0.98,0,0,0,0,0,0,2.94,0,0,0.98,0
 72-82,1.96,1.96,0,69.7,0,0,57.92,2.94,1.96,42.21,1.96,5.89,0,17.67,1.96,0.98,28.47,0.98,0,0.98,0,0,0.98,0,0,4.91,0.98,0,0.98,0
 84-94,2.12,2.12,0,94.52,0,0,23.36,3.19,1.06,69.03,0,6.37,0,16.99,0,0,9.56,0,2.12,0,0,0,2.12,0,0,6.37,0,0,1.06,0
 96-106,2.19,3.28,2.19,96.17,1.09,1.09,50.27,5.46,0,83.06,0,10.93,0,37.16,0,1.09,18.58,0,1.09,0,0,1.09,1.09,0,0,7.65,0,1.09,1.09,1.09
108-118,4.6,0.77,0.77,78.89,0,0,47.49,1.53,0,72.77,0,9.96,0,45.96,1.53,0,16.09,0,2.3,2.3,0,0,0,0,0,3.83,0,0,0,1.53
120,5.88,1.96,0,97.99,0,0,43.12,3.92,0,54.87,0,3.92,1.96,19.6,0,0,11.76,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0
