stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,13.14,2.63,7.89,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0
 14-21,0,0,1,1,2,1,0,1,0,0,0,1,2,0,0,0,9,1,1,0,2,1,6
 24-34,0,0,0,0,0,1.64,0,0,0,0.82,0,0,1.64,0,0,0.82,13.95,0,0,0,0,0.82,1.64
 36-46,0,0,0,0,0,3.22,0.81,0,0,0,0,0,0.81,1.61,0,0,4.03,0,0,0,0,0,4.03
 48-58,0,0,0,0,0,2.3,0,0,0,0,0,0,0.57,0.57,0,0,1.72,0,0,0.57,0,0,0.57
 60-70,0,0,0,0.98,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0,3.93,0,0,5.89,0,0,1.96
 72-82,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0.98,0,0,0,4.91,0,0,7.85,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,1.06,0,2.12,0,0,0,0,0,1.06,4.25,0,0,12.74,0,0,0
 96-106,0,0,0,0,0,1.09,0,1.09,0,2.19,0,0,1.09,0,0,0,2.19,0,0,3.28,0,0,1.09
108-118,0,0,0,0.77,0,0.77,0,0.77,0,1.53,1.53,0.77,0.77,0,0,0,3.83,0,0,1.53,0,0,0
120,0,0,0,0,0,0,0,0,1.96,9.8,0,0,0,0,1.96,3.92,3.92,0,0,1.96,0,0,0
