stage,blastomeres,endoderm,epidermis,eye,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0.82,0.82,0.82,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,1.61,0,0,0,0.81,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,0.57,1.15,0,0.57,0,0.57,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,2.94,0,0,0,1.96,0,0.98,0,0,0
 72-82,0,0,0,0,0,0,0.98,2.94,0,0,0.98,0,0,0,2.94,0,0,0,0,0
 84-94,0,0,0,0,1.06,1.06,0,3.19,0,0,0,0,0,0,3.19,0,0,0,0,0
 96-106,0,0,4.37,0,0,1.09,0,1.09,0,0,0,0,0,0,9.84,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0.77,0,0,1.53,0,0,0,3.06,0,0,0.77,0.77,0
120,0,0,1.96,0,0,1.96,0,0,0,0,1.96,1.96,0,0,1.96,0,0,1.96,0,0
