stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.09,0,0,0,37.76,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,1,3,3,4,0,0,3,1,0,0,0,0,0,3,0,3,0,5,59,2,1,1,2,0,1,0,4,1,7,16,0,1
 24-34,0,0,0.82,2.46,0,4.1,0,0,5.75,0,1.64,0,0,0,0,0.82,0,9.85,0.82,8.21,55,1.64,0.82,1.64,0,0.82,0,0,0,0,0,18.88,7.39,0
 36-46,0,0,0,0.81,0,0.81,0,0,12.09,0,0,0,0,0,0,0,0,6.45,0.81,0.81,45.12,0,0.81,0,0,0,0,0,0,0.81,0,16.11,1.61,0.81
 48-58,0,0,0,0,0,2.87,0,0,13.77,0,0,0,0,0,0,0,0.57,6.31,0.57,1.15,21.23,0,0.57,0,0,0,0,0,0,0,0,8.03,0,0
 60-70,0,0,0,0.98,0,4.91,0,0,31.41,0.98,0,0.98,0,0,0,0,0.98,10.8,0,0,18.65,0.98,0.98,0.98,0,0,0.98,0,0,0,0,8.83,2.94,0.98
 72-82,0,0,0,1.96,0,5.89,0,0.98,34.36,0,0,0,0,0.98,0.98,0,0,14.72,0.98,0,27.49,0,0,0.98,0,0,0,0.98,0,0,0,10.8,2.94,1.96
 84-94,0,0,0,0,0,5.31,1.06,0,20.18,2.12,0,0,1.06,1.06,0,0,2.12,14.87,2.12,1.06,11.68,0,0,2.12,0,0,0,0,0,0,0,5.31,2.12,0
 96-106,0,0,0,1.09,0,7.65,0,1.09,19.67,1.09,0,2.19,1.09,0,3.28,0,0,16.39,1.09,1.09,17.49,0,2.19,1.09,0,1.09,4.37,0,0,0,0,6.56,1.09,1.09
108-118,0,0,0,0.77,0,3.83,0,0.77,18.38,1.53,0,3.06,0,1.53,0.77,0.77,0.77,19.92,0,0.77,29.11,0,0.77,1.53,0,0,0.77,0,0,0,0,2.3,2.3,6.89
120,0,0,0,0,0,3.92,0,0,15.68,1.96,0,3.92,0,3.92,0,0,0,19.6,1.96,1.96,17.64,0,0,0,0,0,1.96,0,0,0,0,0,1.96,1.96
