stage,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,1,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,7,0,0,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,21.34,0,4.93,0,0,3.28,0,0,10.67,0,0,0,0,0
 36-46,0,0,0,1.61,2.42,0,0,0,0,0,0,0,49.95,0,2.42,0,0,3.22,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,46.48,2.3,0,0,0,0.57,0.57,0,0,80.91,0.57,1.15,0.57,0,1.15,0,1.72,3.44,0,0,0,0,0
 60-70,3.93,0,0,167.84,3.93,0,0,0,1.96,0.98,0,0,196.3,0,4.91,0.98,0,2.94,0,0,3.93,0,0,0,0,0
 72-82,6.87,0,0,164.92,24.54,0,0,0,1.96,2.94,0,0,172.77,0,6.87,3.93,0.98,1.96,0,0,4.91,0,2.94,0,0,0
 84-94,23.36,1.06,0,94.52,7.43,0,1.06,0,4.25,6.37,0,0,95.58,0,3.19,5.31,0,24.43,1.06,0,2.12,1.06,0,0,0,0
 96-106,20.76,0,1.09,102.73,12.02,0,0,0,4.37,9.84,0,0,88.52,0,5.46,5.46,0,25.14,0,1.09,1.09,0,0,0,0,0
108-118,33.7,1.53,0,89.62,9.96,3.83,0,1.53,3.06,5.36,0.77,0.77,88.09,0,0.77,2.3,0,26.81,0,0,0,0.77,0.77,0.77,1.53,0.77
120,33.32,0,0,60.75,13.72,0,1.96,1.96,1.96,3.92,0,0,103.87,0,7.84,0,0,21.56,1.96,3.92,1.96,0,0,0,0,0
