stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,6.29,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,4,5,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,6,52,1,0,0,2,3,4,2,0,4,12,0,0,1,0,0
 24-34,0,0,0.82,0,13.95,0.82,12.31,0,0,0.82,0,0,0,0.82,0,1.64,1.64,0.82,1.64,1.64,24.63,0,0,7.39,107.53,4.1,1.64,3.28,0,20.52,0,0,0.82,2.46,29.55,0,0,3.28,0,4.1
 36-46,0,0,0,0,1.61,0.81,12.09,0,0.81,0,1.61,0,0,0,0,0,0,0.81,0.81,0.81,20.14,0,0,1.61,44.31,0.81,0.81,0,0,14.5,0,2.42,0,0,17.72,0,0,4.03,0,1.61
 48-58,0,0,0,0,5.74,0,18.36,1.15,2.3,2.87,3.44,0,0,0.57,0,0,0.57,1.15,0.57,3.44,22.38,1.15,0.57,1.72,28.69,0.57,0.57,1.15,0,8.03,0,0,1.15,0,9.75,0,0,1.15,0,2.3
 60-70,0,0,0,0,1.96,0,37.3,0.98,2.94,4.91,3.93,0,0,0.98,0,0.98,0,1.96,0,2.94,33.37,0,0,8.83,22.58,4.91,1.96,3.93,0,23.56,0,0.98,0,0,1.96,0.98,0,0.98,0,3.93
 72-82,0,0,0,0,7.85,0,47.12,0,1.96,4.91,16.69,0.98,0.98,2.94,0,0,2.94,2.94,0.98,0.98,86.39,0.98,4.91,5.89,19.63,0.98,2.94,4.91,0,15.71,0,0,0,0,2.94,0.98,0.98,3.93,2.94,0.98
 84-94,0,0,0,0,12.74,0,24.43,3.19,3.19,3.19,9.56,3.19,0,0,0,0,2.12,3.19,0,6.37,36.11,0,2.12,2.12,10.62,6.37,0,1.06,0,28.68,0,1.06,0,0,1.06,1.06,0,4.25,4.25,1.06
 96-106,0,0,0,0,6.56,1.09,21.86,0,2.19,0,9.84,2.19,0,0,0,0,1.09,1.09,0,1.09,38.25,0,1.09,2.19,16.39,3.28,2.19,2.19,0,15.3,0,1.09,1.09,0,2.19,1.09,1.09,2.19,0,3.28
108-118,0,0,0.77,0,7.66,0,13.79,0,2.3,0.77,7.66,2.3,0,0,0,0.77,2.3,0.77,0.77,3.06,34.47,1.53,1.53,0,11.49,0.77,0.77,0.77,0,13.79,0,1.53,1.53,0,0.77,3.06,0.77,6.89,0.77,0
120,0,0,0,0,19.6,0,13.72,1.96,3.92,5.88,13.72,1.96,0,1.96,1.96,0,1.96,1.96,1.96,3.92,45.08,0,0,1.96,27.44,0,1.96,1.96,0,25.48,0,3.92,0,0,0,5.88,0,5.88,3.92,1.96
