stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0.82,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.64,1.61
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.57,0,1.15,0,0,0,0,4.02,0.57
 60-70,0,0,0,0,8.83,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,0,0,11.78,0.98
 72-82,0,0,0,0,28.47,0.98,0,7.85,0,0,0,0,0,0,0.98,0,1.96,0.98,0,0,1.96,30.43,0
 84-94,0,0,0,0,22.3,0,0,4.25,0,0,0,0,0,0,0,0,1.06,0,0,0,0,94.52,0
 96-106,0,0,1.09,0,33.88,0,1.09,14.21,3.28,0,0,0,1.09,0,3.28,0,1.09,0,0,1.09,1.09,104.91,0
108-118,0,0,0,0.77,27.57,0,0,13.02,1.53,0,0,0,0,0.77,0,0.77,2.3,0,0,0,0,112.6,0
120,0,1.96,0,0,21.56,0,0,9.8,11.76,0,0,1.96,1.96,3.92,0,0,1.96,0,1.96,1.96,0,78.39,0
