stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,760.07,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.57,2.63,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283.23,3.15,0,0,91.26,0,0,3.15,3.15,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,135,10,0,67,0,0,0,2,15,0,0,0,0,2,0,42,22,1,0,9,196,0,0,1,4,0,2,0,6,1,2,10,263,0,0,4,0,34
 24-34,0.82,0,0,2.46,32.83,2.46,0,82.09,0,0,0.82,0.82,2.46,0,0,0.82,0,6.57,1.64,32.83,77.16,0,0.82,44.33,157.6,1.64,0.82,0.82,0,0,2.46,0,0,4.93,0,5.75,64.85,0,0,5.75,0,94.4
 36-46,0,0,0,0,4.83,0,0,41.09,0,0.81,4.83,8.06,2.42,0,1.61,3.22,0,1.61,0,0.81,103.93,0,0.81,37.87,70.09,0,0,0,0,0,0.81,0,0,3.22,0,0,26.59,0,0,5.64,0,51.56
 48-58,0.57,0,0,0,2.3,0,0,41.89,1.15,0.57,8.03,17.21,0.57,0,0.57,2.87,0,6.89,1.15,1.15,115.33,0,0,30.41,43.61,0,0,0.57,0,0,0.57,0,0,8.03,0,0,14.35,0,0,2.87,0,41.89
 60-70,0,0,0,0,2.94,0.98,0,27.48,0,1.96,7.85,50.06,2.94,0,0,0,0.98,11.78,0.98,1.96,130.54,0,2.94,28.46,14.72,0,0,0,0,1.96,1.96,0,0,16.69,0,0,3.93,0,0.98,0,0,25.52
 72-82,0,0,0.98,0,6.87,2.94,0,31.41,0.98,2.94,13.74,90.31,20.61,0,0,9.82,0,12.76,0,1.96,186.52,0,3.93,24.54,30.43,0,0,0,0,1.96,5.89,0,0,50.06,0,0,0.98,0,5.89,0.98,1.96,20.61
 84-94,0,0,0,0,15.93,4.25,0,74.34,0,6.37,14.87,40.36,60.54,0,0,7.43,0,14.87,2.12,1.06,127.44,0,6.37,20.18,36.11,0,0,1.06,0,1.06,10.62,0,0,132.75,0,0,2.12,1.06,4.25,1.06,2.12,28.68
 96-106,1.09,0,0,4.37,19.67,2.19,0,44.81,0,2.19,8.74,55.74,99.45,0,1.09,18.58,0,16.39,3.28,1.09,150.81,2.19,4.37,16.39,44.81,1.09,0,0,0,1.09,16.39,0,0,133.33,0,0,1.09,1.09,2.19,1.09,5.46,17.49
108-118,0,0,0,8.43,32.17,4.6,0,52.85,0,10.72,6.13,54.38,159.32,0,0,9.19,0,19.92,4.6,1.53,117.19,0.77,3.83,18.38,37.53,1.53,0,1.53,0,2.3,14.55,0,0,131.75,0,0,0,0.77,0,5.36,1.53,23.74
120,0,0,0,1.96,21.56,17.64,1.96,45.08,0,3.92,5.88,27.44,129.35,0,0,11.76,0,17.64,0,1.96,96.03,0,1.96,15.68,29.4,0,1.96,1.96,0,1.96,9.8,0,0,86.23,0,0,1.96,0,1.96,1.96,1.96,9.8
