stage,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,liver,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,1.15,0,1.72,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0
 60-70,1.96,0,83.43,0,0,0,0,0,0,0,0.98,4.91,0,0,0,0,0,0,0
 72-82,5.89,0,246.4,0,1.96,0.98,0,0,0,5.89,0.98,17.67,0,0,2.94,0,1.96,0,0.98
 84-94,7.43,0,223.03,0,3.19,0,0,0,0,4.25,2.12,8.5,0,1.06,1.06,0,0,0,0
 96-106,2.19,1.09,217.48,0,3.28,1.09,0,1.09,0,3.28,0,10.93,0,2.19,0,0,0,2.19,0
108-118,3.06,0.77,153.19,0,0,0,0,0.77,0.77,1.53,1.53,15.32,0,1.53,0,0.77,0,0,0.77
120,1.96,1.96,180.3,1.96,0,0,0,1.96,0,3.92,3.92,13.72,1.96,0,0,0,0,0,0
