stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,5.26,0,0,5.26,0,0,0,0,0,52.57,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,81.82,0,0,37.76,0,0,0,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,1,1,14,1,0,1,1,1,0,3,6,0,0,0
 24-34,0,1.64,0.82,0,0,1.64,0,0,0,1.64,2.46,0.82,18.88,0,2.46,0,2.46,0,0.82,0.82,9.85,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0.81,2.42,0,11.28,0,0.81,0,4.03,0,0,0,6.45,0.81,0,0.81
 48-58,0,0,0,0.57,0,0.57,0,0,1.15,1.15,4.02,0.57,11.48,0,4.02,0,1.72,0,0,0,4.59,0,0,0
 60-70,0,0,0,1.96,0,1.96,0,0,0,0.98,3.93,0.98,8.83,0,4.91,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,4.91,0,0,0,0,11.78,0.98,11.78,0,15.71,0,2.94,0,0,0,1.96,0.98,0,0
 84-94,0,0,0,0,1.06,4.25,0,0,0,0,2.12,0,7.43,0,23.36,0,5.31,0,0,0,1.06,1.06,0,1.06
 96-106,0,0,0,1.09,1.09,1.09,0,1.09,0,0,2.19,0,5.46,0,21.86,0,5.46,0,0,0,2.19,0,1.09,0
108-118,0,0,0,0,0,2.3,0,0,0,1.53,1.53,0.77,4.6,0,25.28,0,3.83,0,0,0,0,0.77,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,9.8,0,15.68,0,1.96,0,0,0,0,0,0,0
