stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,31.47,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,1,1,1,5,0,0,0,0
 24-34,0,0,3.28,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0.82,16.42,2.46,0.82,0,0.82,0,0,3.28,0,0.82,0,0
 36-46,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,0.81,0,4.83,0,0,0.81,30.62,1.61,0,0,0,0,0,5.64,0.81,0,0,0
 48-58,0,0,1.15,0,4.59,0,0,0,1.72,0,0,0,0.57,0,0,0,0,3.44,0,0,0.57,10.33,0.57,0,0,0,0,0,2.3,0,0.57,0,0
 60-70,0,0,0.98,0,5.89,0,0,0,0.98,0,0,0,0,0,0,0,0,13.74,0,0.98,2.94,11.78,0,0,0,1.96,0,0,1.96,0.98,0.98,0.98,0
 72-82,0,0,2.94,1.96,0.98,0,0,0,3.93,0,0,1.96,0,0.98,0,0,0,4.91,0,0,0,5.89,0,0,0,3.93,0,0,0.98,0,1.96,0,0
 84-94,0,0,5.31,0,5.31,0,0,0,3.19,1.06,0,0,3.19,0,0,1.06,0,4.25,0,0,0,8.5,0,0,0,3.19,0,0,0,0,4.25,0,0
 96-106,0,0,3.28,1.09,5.46,1.09,0,1.09,4.37,0,0,0,3.28,0,1.09,0,0,5.46,0,0,0,3.28,0,0,0,7.65,0,0,0,0,2.19,1.09,1.09
108-118,0,0,2.3,0,0,0.77,0,0,3.06,0.77,0,0,2.3,0,0,0.77,0.77,4.6,1.53,0,1.53,3.06,0,0,0,1.53,0,0,0,0,2.3,0.77,0.77
120,0,0,7.84,1.96,3.92,0,1.96,0,0,0,0,0,3.92,0,0,0,0,5.88,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0,0,1.96
