stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,3.15,0
 14-21,8,1,0,0,0,1,0,0,0,2,1,0,0,1,0,0,2,4,2
 24-34,2.46,0,0,0,0,0,0,0,0,3.28,0.82,1.64,0,0,0,0,0,1.64,0.82
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,0,4.03,0,0,0,0,0,0,0.81
 48-58,1.72,0,0.57,0.57,0,0,0,0,0,10.33,1.15,2.87,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0.98,0,0,0,9.82,0,0.98,0,0,0,0,0,0,0
 72-82,0.98,0.98,0.98,0,0,0,0,0.98,0,25.52,0,1.96,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,0,0,8.5,0,1.06,0,0,0,0,0,0,0
 96-106,1.09,0,1.09,0,0,0,0,0,0,7.65,4.37,5.46,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,0.77,0,0,0,13.79,0,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,1.96,0,0,5.88,0,0,0,1.96,0,1.96,0,0,1.96
