stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,7,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,42,0,2,0,0,2,0,1,2,34,0,0,0,0,0
 24-34,7.39,0,2.46,0,4.93,0,0.82,0,1.64,0.82,0,0,0,0.82,0,0,0,0,3.28,0,0,0,348.86,0.82,37.76,0,0.82,0,0.82,0,1.64,109.99,0,0,0.82,0,0
 36-46,7.25,0,4.03,0,16.11,0,0,0,2.42,0,0,0,0,0,0.81,0,0,0,3.22,0,0.81,0,1089.26,0.81,52.37,0.81,2.42,0,0,0.81,0,208.67,0,0,0,0,0
 48-58,3.44,0,4.59,0.57,98.12,0,0,0,14.92,0,0,0.57,0,0,0,0,0,1.72,9.18,0,0,1.15,1418.45,1.15,54.51,1.15,0.57,0,0,0,0,233.54,0,0,0.57,0,0.57
 60-70,2.94,0.98,8.83,0,294.46,0,0,0.98,9.82,1.96,0,0,0.98,0,1.96,0.98,0.98,0,13.74,0,0,2.94,2012.12,0,70.67,0.98,0.98,0,0,0,0,254.21,0,0,0,0,0
 72-82,11.78,0.98,8.83,5.89,375.98,0.98,0,0.98,42.21,9.82,0,0.98,0,0.98,0,0,0,0,25.52,0.98,0,1.96,1894.61,0,133.51,1.96,3.93,0,0.98,0,0,150.19,0.98,0,0.98,0,5.89
 84-94,11.68,2.12,21.24,2.12,279.32,0,2.12,1.06,37.17,7.43,0,0,1.06,0,2.12,0,0,1.06,24.43,2.12,1.06,1.06,971.76,0,172.05,1.06,8.5,0,1.06,0,0,87.09,2.12,0,0,2.12,0
 96-106,14.21,0,9.84,4.37,234.96,2.19,2.19,1.09,40.44,8.74,0,0,2.19,0,1.09,2.19,3.28,0,16.39,0,1.09,1.09,919.08,0,254.63,2.19,10.93,0,0,0,0,54.64,5.46,0,1.09,1.09,1.09
108-118,12.26,2.3,16.85,0.77,176.17,0,1.53,1.53,34.47,6.89,0,0,0.77,0,1.53,0.77,2.3,0,11.49,0.77,0,0,1125.97,0,170.04,0,3.06,0,0.77,0.77,0,35.23,2.3,0,3.06,0.77,0
120,5.88,1.96,13.72,1.96,148.94,1.96,0,0,37.24,1.96,0,0,3.92,1.96,1.96,3.92,0,0,27.44,0,0,1.96,1297.38,1.96,146.98,0,5.88,0,1.96,0,0,43.12,0,1.96,0,1.96,0
