stage,blastomeres,epidermis,eye,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,4.1,0,4.1,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,9.67,0.81,2.42,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0.57,0,10.33,0.57,3.44,1.15,0,0,0,0,0,0,0,0.57
 60-70,0,0,1.96,17.67,0,0,0,9.82,0.98,4.91,1.96,0,0,1.96,0.98,0.98,1.96,0,0.98
 72-82,0,0,4.91,61.84,0,0,0,14.72,1.96,7.85,7.85,0,0,3.93,0,0,0.98,2.94,1.96
 84-94,0,0,3.19,35.05,0,0,0,11.68,1.06,5.31,1.06,0,0,4.25,0,0,0,2.12,0
 96-106,0,2.19,4.37,65.57,0,0,1.09,21.86,1.09,6.56,3.28,0,0,10.93,0,0,0,3.28,0
108-118,0,0,3.83,58.98,0,0,0,13.79,1.53,2.3,2.3,0,0,7.66,0,0,0,3.83,0
120,0,0,7.84,78.39,1.96,0,0,15.68,0,3.92,7.84,0,1.96,11.76,1.96,0,0,3.92,0
