stage,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,immune,lateral.line,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  7-9,0,0,2.63,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
 24-34,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0
 36-46,0,4.83,0,0,0,0,0,0,0,0.81,0,0,0,0,0.81,0,1.61
 48-58,0,2.3,0,0,0.57,0,0,0,0.57,0.57,1.15,0,0,0.57,0,0,0
 60-70,0,3.93,0,0.98,1.96,0,0,0,0,0.98,0,0.98,0,0.98,0.98,0,0
 72-82,0,1.96,1.96,0,0,0,0,0.98,2.94,4.91,0,0,0,1.96,0.98,0,1.96
 84-94,1.06,9.56,0,0,0,0,0,0,0,3.19,1.06,0,0,2.12,0,1.06,0
 96-106,0,14.21,1.09,1.09,0,1.09,1.09,0,0,1.09,2.19,0,0,5.46,0,1.09,0
108-118,0,13.02,0,2.3,0.77,2.3,1.53,2.3,2.3,0.77,0,0,0,7.66,0,9.19,0.77
120,0,13.72,0,1.96,0,0,0,0,0,1.96,1.96,0,0,5.88,0,3.92,1.96
