stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,olfactory,otic,paraxial.mesoderm,periderm,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,1.61,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,2.87,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,18.65,0.98,2.94,0,0,0,0,0,0,0,0
 72-82,0,0,18.65,0,2.94,0,0.98,0.98,0,0,0,0,0
 84-94,0,0,56.29,0,6.37,0,1.06,0,0,0,1.06,0,0
 96-106,0,1.09,24.04,1.09,5.46,1.09,2.19,1.09,0,0,0,1.09,0
108-118,0,0,15.32,0,9.19,0,0.77,0,0.77,0,0,0,0.77
120,0,0,1.96,0,9.8,0,0,0,1.96,0,0,0,0
