stage,axial,blastomeres,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,6,0,0
 24-34,0,0,0.82,6.57,0,0.82,2.46,0.82,0,0,0,3.28,0,1.64,14.78,0,0,0.82,0,4.93,0,0.82
 36-46,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0.81,24.98,0,0,0.81,0,2.42,0,0
 48-58,0,0,0,8.03,0.57,0.57,2.3,0,0,0,0.57,1.72,0.57,0,14.92,0,0,0,0,2.3,0,0
 60-70,0,0,0.98,6.87,0,0,1.96,0,0,0,0,3.93,0,0.98,15.7,0,0.98,0,0,4.91,0,0
 72-82,0,0,0,6.87,0,0,1.96,0,0,0,0,4.91,0,0.98,12.76,0,0,0,0,0.98,0.98,0.98
 84-94,0,0,0,0,0,0,0,0,1.06,1.06,0,3.19,0,0,6.37,0,0,0,0,0,0,0
 96-106,0,0,0,5.46,0,0,1.09,0,0,0,0,1.09,0,0,4.37,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0,0,0.77,0,0,0,0,0.77,0,0.77,1.53,0,0,0,0,0,0,0
120,0,0,1.96,0,0,0,3.92,0,0,0,0,3.92,0,0,11.76,0,0,0,0,0,0,0
