stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,2,5,0,1,0,5,0,0,0,11,0,0,3,126,0,1,1,3,0,10,2,6,38,0,0,0,0,0
 24-34,0,0,0,0,0,9.85,0,0,0,9.85,0,0,0,8.21,0,0,2.46,139.55,0,0.82,0.82,0,0,0,1.64,0.82,36.12,0,0,0,0,0.82
 36-46,0,0,0,1.61,0,46.73,0,0.81,0,6.45,0,0,0,7.25,0,0,1.61,138.58,0,2.42,0,0,0,0,0.81,0,24.98,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,48.77,0,0,0.57,10.33,0,0,0.57,9.75,0,0,3.44,47.05,0,0.57,0.57,0,0.57,0,0,0,10.9,0,0,1.15,0,0
 60-70,0,0,0,0.98,0,20.61,0.98,0,0,13.74,0,0.98,0,3.93,0,0,2.94,22.58,0,6.87,0.98,0,0,0,0,0,2.94,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,28.47,0,0,0,14.72,0.98,0,0,12.76,0,0.98,0.98,37.3,0,3.93,2.94,0,0.98,0,0,0,9.82,2.94,0.98,0,0,0
 84-94,0,0,0,2.12,0,14.87,0,1.06,0,9.56,0,0,0,11.68,0,1.06,2.12,6.37,1.06,3.19,3.19,0,1.06,0,1.06,0,4.25,0,0,0,1.06,0
 96-106,0,0,0,0,0,8.74,0,0,0,6.56,0,1.09,1.09,9.84,0,0,3.28,9.84,0,3.28,0,0,0,0,0,0,2.19,1.09,0,1.09,0,0
108-118,0,0,0,2.3,0,8.43,0,0,0,4.6,0,0,0,9.19,0.77,0,1.53,22.98,0,1.53,0.77,0,0,0,0,0,1.53,3.06,1.53,2.3,0,0
120,0,0,0,0,0,7.84,0,0,1.96,3.92,0,0,0,5.88,0,0,0,5.88,0,0,0,0,0,0,0,0,3.92,1.96,0,0,0,0
