stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,4,0,0,2,15,0,0,1,0,0,1,3,0,0,44
 24-34,0,0,0.82,0,0,7.39,0,0,0,0,0,0,0,0.82,0.82,2.46,4.93,0,0.82,22.16,0,0.82,0,0,0.82,1.64,4.1,0,0.82,152.68
 36-46,0,0.81,0,0,0,16.11,0,0,2.42,0,0.81,0,0,1.61,0.81,0,5.64,0,1.61,12.09,0.81,0,0,0,0,3.22,2.42,0,0.81,107.96
 48-58,0,0,0.57,1.15,0,6.89,0,1.72,1.15,0.57,0,0,0,3.44,0,0,4.59,0,2.3,8.03,1.72,0,0,0,0,0.57,2.87,0,0.57,88.94
 60-70,0,0,0.98,0,0,4.91,0,0,4.91,0,0,0,0,4.91,0,0,9.82,0,1.96,4.91,0,0,0,0,0,1.96,0,0.98,0,57.91
 72-82,0,0,0,0,0,4.91,0,0,5.89,0.98,0.98,0,0,5.89,0,0,20.61,0,0.98,4.91,0.98,0,0,0,0.98,0,0.98,0,0.98,45.16
 84-94,0,0,2.12,0,0,8.5,1.06,0,4.25,1.06,0,1.06,0,11.68,2.12,0,13.81,0,1.06,2.12,1.06,0,0,0,1.06,5.31,1.06,0,0,46.73
 96-106,0,1.09,7.65,1.09,0,8.74,1.09,0,3.28,0,0,1.09,0,14.21,3.28,0,15.3,1.09,1.09,4.37,1.09,0,1.09,0,1.09,3.28,0,1.09,0,43.71
108-118,0,0,1.53,0,3.06,8.43,0,0,4.6,1.53,0,0.77,0.77,19.92,4.6,0,9.96,1.53,1.53,5.36,2.3,0,2.3,0.77,0,2.3,0,0,0,50.55
120,0,0,0,0,1.96,5.88,0,0,5.88,5.88,0,0,0,3.92,3.92,0,15.68,0,0,1.96,5.88,0,0,0,0,0,1.96,0,1.96,25.48
