stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,immune,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,4.93,0,0,0,0,0.82,0,4.93,0.82,1.64,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,4.83,0,0,0,0,0,0,12.89,0,0.81,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,0,8.61,0.57,0,0,0,0.57,0.57,23.53,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,0.98,0,18.65,0,0,0,0,3.93,0,57.91,0,0,0,0,0,2.94,0,0,0.98,0
 72-82,0,0,1.96,0,28.47,2.94,0,0,0,2.94,0,55.95,0,0.98,0,0,0,5.89,0,0,0.98,0.98
 84-94,0,0,1.06,0,24.43,1.06,0,4.25,0,0,0,32.92,0,0,0,0,0,2.12,0,0,1.06,0
 96-106,0,1.09,0,0,13.11,1.09,0,1.09,1.09,2.19,0,36.06,0,0,0,0,0,3.28,0,1.09,0,0
108-118,0,0,1.53,0,23.74,0.77,0,4.6,0.77,0.77,0,42.13,0,0,1.53,0,0,0.77,0.77,0,0,0
120,0,1.96,3.92,0,31.36,1.96,1.96,1.96,1.96,1.96,0,64.67,0,1.96,0,0,1.96,1.96,0,0,1.96,0
