stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,55.17,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,18.88,0,9.44,0,0,0,0,0
 14-21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,1,1,0,0,1,1,3,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,0,0,4.1,0,0,0,11.49,0,0.82,0,0,0.82,3.28,0,0,0.82,0.82,0.82,0,0
 36-46,0,0,0,1.61,0,0,0,1.61,0,0,3.22,0,0,0,8.86,0,1.61,0,0,0,3.22,0,0,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,0,1.15,0.57,0.57,9.75,0.57,0,0,7.46,0,1.72,0,0,0,12.05,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,22.58,0.98,0,0,13.74,0,0,0,0,0,16.69,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,0,0,10.8,0,0.98,87.37,0.98,0,0,57.92,0,3.93,0,0,0,21.6,0,0,0,0,0.98,0.98,0.98
 84-94,0,0,1.06,0,1.06,2.12,0,6.37,0,1.06,195.41,2.12,1.06,0,227.28,0,0,0,0,0,10.62,0,0,3.19,0,0,1.06,0
 96-106,0,0,2.19,1.09,2.19,1.09,1.09,9.84,1.09,1.09,255.73,0,0,1.09,179.23,0,3.28,1.09,0,0,64.48,0,0,5.46,0,0,0,0
108-118,0,0,0.77,0.77,1.53,0,0.77,5.36,0,0.77,336.26,0,0.77,0,207.58,0.77,3.06,0.77,0.77,0.77,55.15,0.77,0,3.83,0,0.77,0,0
120,0,0,0,0,0,0,0,3.92,0,0,195.98,0,0,0,68.59,0,0,1.96,0,0,47.03,0,0,0,0,0,1.96,0
