stage,axial,blastomeres,epidermis,eye,fin.mesenchyme,glial,immune,mesenchyme,mural.cell,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,7.89,0,0,0,0,0,65.72,2.63,31.54,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,25.18,0,12.59,0,3.15,0,0,0
 14-21,0,0,3,2,0,0,0,2,0,9,0,0,0,1,3,2,0
 24-34,0,0,0,0.82,0.82,0,0,0.82,0,9.03,0,0,0,0,0.82,0.82,0
 36-46,0,0,0,1.61,0,0,0,0,0,1.61,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,2.3,0,1.15,0,3.44,0,0,0,0,0,0,0
 60-70,0,0,0,1.96,0,0,0,0,0,7.85,0,0,0,0,0,1.96,0
 72-82,0,0,0,0.98,0,0,1.96,1.96,0,8.83,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,7.65,1.09,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0,0,6.13,3.06,0,0,0,0,0,0,0,0,0.77
120,0,0,0,0,0,0,11.76,3.92,0,1.96,0,0,0,0,0,0,0
