stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,24.52,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,15.77,0,0,5.26,0,0,0,7.89,0,0,0,0,0,63.09,7.89,0,0,23.66,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,91.26,3.15,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,5,1,1,0,33,0,0,0,0,0,3,0,40,0,1,3,1,0,0,3,37,1,2,85,0,0,0
 24-34,0,0,0,0,2.46,0.82,4.1,0,32.83,0.82,0,0,0,0,0.82,0.82,34.48,0,8.21,0,0,0,0,0,9.03,0,0.82,53.36,0,0,0
 36-46,0,0,0,0,0.81,0,12.09,0.81,13.7,0,0,0,0,0,4.03,0,32.23,0,3.22,0.81,0,0,0,0,7.25,0,0,29,0,0,0
 48-58,0,0,0,0,0,0,44.18,0,9.75,0,0,0,0,0.57,3.44,0,9.75,0,2.87,0,0,0,0,0,1.72,0,0,18.94,0,0,0
 60-70,0,0,0,0,0.98,0,163.91,0.98,9.82,0,0,0.98,0,0,1.96,0.98,4.91,0,1.96,0,0,0,0,0,1.96,0,0,7.85,0,0,0
 72-82,0,0,0.98,0,2.94,0,139.4,0.98,14.72,0,0,0,0.98,0,8.83,0.98,8.83,0,1.96,0,0,0,0,0,0,0,0,4.91,0.98,0,0.98
 84-94,0,0,0,0,2.12,0,135.94,2.12,4.25,1.06,0,0,0,0,0,0,8.5,0,6.37,0,0,0,0,0,5.31,0,0,4.25,0,0,0
 96-106,0,0,0,0,0,0,93.98,0,10.93,0,0,0,0,0,3.28,0,1.09,0,8.74,0,0,0,1.09,0,2.19,0,0,4.37,0,1.09,0
108-118,0,0,0,0.77,0.77,0,78.89,2.3,9.96,0,0,0,0.77,0,1.53,0,7.66,0,7.66,0.77,0,0,0,0,3.83,0,0,4.6,0,0,0.77
120,0,0,0,0,1.96,0,54.87,0,1.96,0,0,0,0,0,0,0,5.88,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,0
