stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,xanthophores
  3-4,52.71,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,24.52,122.59,6.13,0,0,0,0,0,0,12.26,0,0,0,0,0,55.17,0,0,0,18.39,12.26,0,0,0,0,0,0
  7-9,18.4,7.89,28.92,0,0,0,0,0,0,15.77,0,0,0,0,0,49.95,28.92,0,0,202.41,0,0,0,0,0,0,0
 10-12,0,12.59,22.03,0,0,6.29,0,0,0,0,0,0,0,0,0,34.62,28.32,0,0,210.85,0,0,12.59,0,3.15,0,0
 14-21,0,0,0,6,1,0,0,0,0,0,0,0,0,11,5,3,7,0,0,3,0,125,0,1,26,0,0
 24-34,0,0,0,3.28,0,0.82,0,0,0,0,0,0.82,1.64,15.6,2.46,4.1,0.82,0.82,2.46,0,0.82,0,0,1.64,0,1.64,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0,0,0.81,5.64,5.64,6.45,0,0,3.22,0,1.61,0,0,0.81,0,0.81,0
 48-58,0,0,0,0.57,0,2.87,0,0,0.57,0,0,0,1.15,8.03,1.72,10.33,0,0,1.72,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0,5.89,1.96,0,1.96,0,0,0,0,2.94,3.93,15.7,0,0,5.89,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0,0,4.91,2.94,0.98,5.89,0,0,0,0.98,12.76,4.91,32.39,0,0,0.98,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,1.06,0,2.12,4.25,0,5.31,0,0,0,1.06,7.43,1.06,15.93,0,0,5.31,0,1.06,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,6.56,1.09,0,3.28,0,1.09,0,0,10.93,2.19,10.93,0,0,2.19,0,0,0,0,0,0,2.19,0
108-118,0,0,0,0,0.77,1.53,2.3,0,2.3,0,0.77,0,0,6.13,3.83,19.15,0,0,6.89,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,3.92,1.96,29.4,0,0,0,0,0,0,0,0,0,0,0
