stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,1,2,5,0,1,7,0,0,1,0,0
 24-34,0,0,0,0,0.82,0.82,0,2.46,0,0,0,0,0,0,0,0.82,0,0,0,1.64,1.64,0,0,1.64,27.91,0,0,0,0,0,2.46,0,2.46,0,1.64,13.13,0,0,0.82,0,0
 36-46,0,0,0.81,0,1.61,0,0,2.42,0,0.81,0,0,0.81,0.81,1.61,0,0,0,0,0,2.42,0,0,0,60.43,0.81,1.61,0,0,0,0,0,3.22,0.81,0,14.5,0,0,2.42,0,0.81
 48-58,0,0,0,0,1.15,0,0,13.2,0,0.57,0,4.59,0,0,0,0.57,0.57,0,0,0,4.59,0.57,0,0,104.43,0.57,1.15,0.57,0,0,1.15,0,2.87,0,0,21.23,0,0,0,0,0
 60-70,0,0,0.98,0,4.91,2.94,0,35.33,0,0,0,9.82,0,0.98,7.85,0,0,0,0,0,23.56,0,0,0.98,145.27,0.98,1.96,1.96,0,0,3.93,0,3.93,0,0,20.61,0.98,0.98,2.94,0,0.98
 72-82,0,0,0,0,0,2.94,0,72.64,0,0.98,1.96,26.5,4.91,0.98,6.87,0,0.98,0,2.94,0,37.3,0.98,2.94,2.94,134.49,0,5.89,1.96,0,1.96,2.94,0,7.85,0,0,9.82,1.96,0.98,12.76,1.96,4.91
 84-94,0,0,3.19,0,5.31,5.31,0,38.23,0,1.06,0,21.24,2.12,0,10.62,0,1.06,1.06,6.37,2.12,24.43,2.12,1.06,1.06,78.59,0,0,4.25,0,0,16.99,0,19.12,1.06,0,7.43,1.06,1.06,7.43,0,0
 96-106,0,0,3.28,0,4.37,3.28,0,37.16,0,5.46,0,14.21,3.28,0,25.14,2.19,1.09,0,10.93,1.09,22.95,0,0,0,72.13,0,5.46,2.19,0,0,18.58,0,31.69,0,0,1.09,0,2.19,9.84,1.09,0
108-118,0,0,0.77,0.77,13.02,5.36,3.06,38.3,0.77,2.3,1.53,9.96,9.19,0,19.92,0.77,3.06,0,24.51,0,19.92,0.77,3.83,1.53,68.94,3.06,2.3,3.83,0,2.3,16.85,0,24.51,2.3,0,3.83,3.83,0.77,7.66,0,1.53
120,0,0,3.92,0,13.72,0,5.88,19.6,0,3.92,1.96,5.88,13.72,1.96,17.64,0,0,1.96,33.32,0,23.52,0,3.92,1.96,103.87,0,1.96,0,0,1.96,19.6,0,27.44,0,0,5.88,0,1.96,7.84,1.96,0
