stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,343.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.41,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,18.88,0,0,0,0,0,3.15,0,0,0,0,0,25.18,0,0,18.88,0,6.29,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,10,0,8,3,0,0,0,0,0,0,1,14,0,1,0,0,0,11,1,2,0,0,1,18,0,0,0,0,2,0,3,0,7,29,9,0,0,5,0,0
 24-34,0,0,9.85,0,0.82,0,0,9.85,0,0,0.82,2.46,0,0.82,0,5.75,0.82,0,0,18.06,5.75,14.78,0,0,8.21,54.18,0.82,0,0,0,0.82,0,0,1.64,0.82,2.46,13.95,0,0,22.98,0,5.75
 36-46,0,0,8.06,0,2.42,0,0,24.17,0,0,0.81,7.25,0,0,0,10.47,0,1.61,0,4.83,0.81,28.2,0,0,8.06,44.31,2.42,0,0,0,0,0,0,0,0,0,17.72,0,0,12.89,0,0.81
 48-58,0,0,6.89,0,0.57,0,0,39.02,0.57,0.57,4.02,24.1,0,0,0,10.33,0,1.72,0,0.57,0.57,33.85,0,0,5.16,37.3,1.15,0.57,0,0,0.57,0,0,0,0,0,14.35,0,0,11.48,0,4.59
 60-70,0,0,0.98,0,0.98,0.98,0,21.59,0,0,1.96,37.3,0,0.98,0,15.7,1.96,0,0.98,0.98,0.98,53,0.98,0.98,6.87,39.26,2.94,0.98,0,0,0,0,0,4.91,0,0,8.83,0.98,0,9.82,0,0.98
 72-82,0,0,11.78,0,2.94,0,0,21.6,0,0,7.85,41.23,0,0,0,19.63,0.98,0.98,0,0.98,0,93.26,0.98,0.98,5.89,40.25,4.91,5.89,0.98,0,0.98,0,0,5.89,0,0,4.91,1.96,0,15.71,0.98,1.96
 84-94,0,0,7.43,0,4.25,0,0,19.12,0,1.06,3.19,13.81,2.12,1.06,0,18.05,0,3.19,0,1.06,0,36.11,0,0,8.5,21.24,2.12,4.25,0,1.06,2.12,0,0,10.62,0,0,1.06,0,1.06,15.93,0,0
 96-106,0,0,15.3,0,5.46,0,0,13.11,2.19,0,1.09,28.41,5.46,0,1.09,24.04,2.19,2.19,2.19,0,1.09,63.39,0,1.09,5.46,13.11,5.46,12.02,0,2.19,3.28,1.09,0,8.74,1.09,0,3.28,1.09,1.09,10.93,1.09,8.74
108-118,0,0,8.43,0,6.13,0,2.3,21.45,1.53,0,5.36,26.81,3.83,0,0,11.49,2.3,5.36,0,0,1.53,36.77,0.77,3.06,3.83,23.74,1.53,3.83,0,0,3.06,0,0,8.43,0,0,0.77,0.77,0,6.89,0,3.06
120,0,0,1.96,0,9.8,5.88,0,17.64,0,0,1.96,17.64,1.96,1.96,0,21.56,1.96,1.96,0,1.96,0,27.44,0,0,13.72,17.64,3.92,5.88,0,0,1.96,0,0,3.92,0,0,3.92,0,0,11.76,0,1.96
