stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,5.26,7.89,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,3.15,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,25,1,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0.82,0.82,0,0,7.39,0,0,108.35,3.28,0,0
 36-46,0,0,0,0.81,0.81,0.81,0,0,0.81,0,0,0,0,4.03,0,0,70.09,1.61,0,0
 48-58,0,0.57,0,1.15,0.57,0,0,0,0.57,1.15,0,0,0,6.31,0,0,46.48,0.57,0,0
 60-70,0,0,0,0,0.98,0.98,0,0,0,0.98,0,0,0,0.98,0,0,45.15,0,0,0
 72-82,0,4.91,0,2.94,1.96,0,0,0,0,1.96,0,0,0.98,2.94,0,0,45.16,0,0.98,0
 84-94,0,1.06,0,0,0,0,0,1.06,0,0,3.19,0,0,0,0,0,142.31,0,0,0
 96-106,0,12.02,1.09,0,1.09,0,0,0,0,1.09,0,0,1.09,1.09,0,0,87.43,0,0,2.19
108-118,0,7.66,0,0,1.53,0,0,1.53,0,0.77,0,0,0,0,0,0,52.85,0,0,1.53
120,0,5.88,0,0,1.96,0,1.96,0,0,0,1.96,1.96,0,0,0,0,60.75,1.96,0,1.96
