stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.03,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,0,69.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.49,34.62,0,0,91.26,0,0,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,0,33,12,0,54,0,1,0,6,3,2,0,0,0,0,0,0,36,0,0,37,432,3,1,5,3,0,3,35,0,18,181,191,0,0,3,0,0
 24-34,0,0,1.64,0.82,10.67,0,0,105.89,0,1.64,0,4.93,0.82,1.64,0,0,0,0,0,0.82,41.86,0,0,24.63,962.04,1.64,2.46,4.93,0,0,0,0,0.82,1.64,23.8,256.11,0,0,9.85,0,2.46
 36-46,0,0,0,0,4.83,0,0,301.32,0,0,1.61,17.72,1.61,0.81,0.81,0,0,0,0,0,70.09,0,0,16.11,1531.58,0.81,13.7,0,0,0,2.42,0,0,0,0,331.13,0,0,8.86,0,0
 48-58,0.57,0,0,0,4.59,0,0,333.38,2.3,1.15,1.72,28.69,0,0,0,0.57,0,0,0,0,75.74,0,1.72,19.51,1000.72,0.57,7.46,1.15,0,0,0.57,0,0.57,0.57,0,227.8,0,0,2.87,0,0.57
 60-70,0,0,1.96,0,5.89,0,0,471.13,2.94,0.98,4.91,29.45,1.96,2.94,0,0.98,2.94,0,0,0,83.43,0.98,1.96,12.76,869.63,0,1.96,8.83,0,0.98,0.98,0,0,0,0,116.8,0.98,1.96,1.96,0,0
 72-82,0,0,1.96,0,9.82,0.98,0,322.97,0,1.96,2.94,33.38,0,0,0.98,0,0.98,1.96,0,0.98,106.02,0,1.96,13.74,568.38,0,13.74,5.89,0,0,0,0,0,0,0,50.06,1.96,2.94,7.85,0.98,0
 84-94,0,0,3.19,0,6.37,0,0,276.13,1.06,1.06,5.31,36.11,5.31,0,2.12,0,2.12,0,1.06,0,93.46,0,2.12,12.74,332.42,0,2.12,5.31,0,0,1.06,0,0,0,0,30.8,3.19,1.06,5.31,3.19,0
 96-106,0,0,7.65,0,9.84,0,1.09,201.08,1.09,1.09,3.28,21.86,4.37,0,2.19,0,1.09,1.09,1.09,0,75.41,0,3.28,3.28,271.03,0,6.56,8.74,0,1.09,1.09,0,1.09,0,0,8.74,2.19,3.28,4.37,3.28,2.19
108-118,0,0,0.77,0,10.72,0,0,157.02,0,5.36,3.06,22.21,2.3,0.77,0,0,3.83,0.77,0,0,53.62,0,0.77,9.19,303.32,0.77,4.6,7.66,0,0,0.77,0,0.77,0,0,13.79,1.53,1.53,2.3,1.53,0
120,0,0,1.96,0,5.88,0,0,158.74,0,0,5.88,19.6,0,0,0,0,0,0,3.92,0,60.75,0,5.88,5.88,309.65,0,1.96,1.96,0,0,1.96,0,0,0,0,9.8,0,0,3.92,0,0
